Acassuso;ARG;48;La Quema;Tobías Kohan;ARG;082675;FFFFFF;1500
Mariano Monllor;G;ARG;N;36;D;S;Col;Imp;0
Franco Cortés;L;ARG;N;23;D;N;Des;Ace;0
Juan Ponce de León;L;ARG;N;25;D;S;Cru;Vel;0
Natan Acosta;L;ARG;N;22;D;N;Mar;For;0
Nicolás Stepanovitch;L;ARG;N;22;E;N;Pos;Agi;0
Román Etcheverri;L;ARG;N;22;D;N;Des;For;0
Álex Ruiz;L;ARG;N;26;E;S;Pas;Res;0
Bruno Dordoni;Z;ARG;N;27;E;N;Mar;Con;0
Joel Ghirardello;Z;ARG;N;30;E;S;Pos;Imp;0
Lucas Pioli;Z;ARG;N;24;D;S;Mar;Res;0
Santiago Bellatti;Z;ARG;N;23;D;N;Pos;For;0
Joaquín Postigo;V;ARG;N;22;D;N;Pas;Con;0
Ramiro Reynoso;V;ARG;N;26;D;S;Ant;For;0
Agustín Hermoso;M;ARG;N;23;D;S;Fin;Agi;0
Diego Roberts;M;ARG;N;24;D;N;Pas;Vis;0
Joaquín Cancio;M;ARG;N;22;D;S;Chu;Fri;0
Jonathan Raccio;M;ARG;N;20;D;N;Dri;Vis;0
Kevin Dubini;M;ARG;N;32;D;S;Pas;Agi;0
Manuel Mónaco;M;ARG;N;23;E;N;Dri;Res;0
Nahuel Petillo;M;URY;N;24;D;N;Pas;Fri;0
Patricio Pérez;M;ARG;N;25;E;N;Arm;Agi;0
Alejo Sanabria;P;ARG;N;22;D;N;Dri;Cri;0
Fabricio Sena;P;PRY;N;20;D;N;Dri;Ace;0
Lucas Rey;P;ARG;N;26;D;N;Arm;Cri;0
Luciano Verón;P;ARG;N;21;E;N;Cru;Vel;0
Alexis Gónzalez Duarte;A;ARG;N;21;D;N;Pas;Imp;0
David Escalante;A;ARG;N;34;D;N;Dri;For;0
Felipe Senn;A;ARG;N;24;D;S;Fin;Res;0
Lázaro Romero;A;ARG;N;30;E;S;Pas;Vel;0
Martín Schlotthauer;A;ARG;N;26;D;N;Chu;Fri;0
