Aldosivi;ARG;73;José María Minella;Israel Damonte;ARG;2AA445;E9E120;35000
Ignacio Chicco;G;ARG;N;30;E;S;Sgo;Con;0
Lucas Acosta;G;ARG;N;31;D;N;Ref;Imp;0
Braian Cufré;L;ARG;N;29;E;N;Pas;Agi;0
Elías López;L;ARG;N;26;D;N;Pas;Ace;0
Guillermo Enrique;L;ARG;N;26;D;N;Pas;For;0
Lucas Rodríguez;L;ARG;N;32;E;S;Des;Ace;0
Rodrigo González;L;ARG;N;26;D;S;Cru;Res;0
Federico Laurelli;Z;ARG;N;22;E;N;Des;Res;0
Joaquín Pombo;Z;ARG;N;25;D;N;Des;For;0
Leonardo Sigali;Z;ARG;N;39;D;N;Ant;Con;0
Nicolás Zalazar;Z;ARG;N;29;D;S;Mar;For;0
Néstor Breitenbruch;Z;ARG;N;30;D;N;Mar;Con;0
Santiago Moya;Z;ARG;N;23;D;S;Pos;Imp;0
Nicolás Linares;V;ARG;N;30;D;N;Ant;Con;0
Roberto Bochi;V;ARG;N;39;D;S;Ant;Res;0
Federico Gino;M;URY;N;33;D;S;Dri;Cri;0
Francisco Perruzzi;M;ARG;N;25;D;N;Fin;Vis;0
Lautaro Chávez;M;ARG;N;25;D;N;Chu;Fri;0
Lucas Castro;M;ARG;N;37;D;N;Dri;Cri;0
Martín García;M;ARG;N;21;D;N;Arm;Fri;0
Nico Gaitán;M;ARG;N;38;E;N;Arm;Vis;0
Agustín Palavecino;P;ARG;N;23;D;S;Fin;Cri;0
Alan Sosa;P;ARG;N;23;D;S;Dri;Ace;0
Matías Godoy;P;ARG;N;24;D;N;Dri;Ace;0
Natanael Guzmán;P;ARG;N;26;D;N;Pas;Agi;0
Tomás Fernández;P;ARG;N;28;D;S;Cru;Vel;0
Andrés Chávez;A;ARG;N;35;E;N;Chu;For;0
Andrés Vombergar;A;SVN;N;31;D;N;Cab;For;0
Bautista Dadín;A;ARG;N;20;A;N;Pas;Imp;0
Nicolás Cordero;A;ARG;N;27;D;S;Chu;Imp;0
