All Boys;ARG;53;Islas Malvinas;Mauricio Giganti;ARG;000000;FFFFFF;21500
Juan Pablo Noce;G;ARG;N;28;E;N;Ref;Con;0
Lukas Ramil Sauer;G;ARG;N;21;D;N;Sgo;Imp;0
Nicolás Carrizo;G;ARG;N;34;D;S;Rbo;Fle;0
Alejo Tabares;L;ARG;N;24;E;N;Pos;Res;0
Emiliano Purita;L;ARG;N;28;D;S;Pas;Vel;0
Franco Quiroz;L;ARG;N;27;E;S;Mar;Ace;0
Hernán Grana;L;ARG;N;40;D;S;Des;For;0
Alejo Rodríguez;Z;ARG;N;25;D;N;Cab;Imp;0
Felipe Coronel;Z;ARG;N;24;D;N;Mar;Imp;0
Iván Zafarana;Z;ARG;N;30;D;S;Des;Res;0
Maximiliano Coronel;Z;ARG;N;36;D;S;Pos;Vel;0
Yago De Vito;Z;ARG;N;24;E;S;Ant;Res;0
Agustín Moreno;V;ARG;N;20;D;N;Chu;Res;0
Gabriel Ramírez;V;ARG;N;30;D;S;Ant;For;0
Gustavo Turraca;V;ARG;N;30;D;S;Des;Con;0
Alexis Melo;M;ARG;N;24;D;N;Pas;Vis;0
Matías Rodríguez;M;ARG;N;32;D;N;Chu;Agi;0
Nicolás Barrientos;M;ARG;N;31;E;N;Pas;Vis;0
Nicolás Villagra;M;ARG;N;23;D;N;Pas;Fri;0
Santiago Cáceres;M;ARG;N;21;D;N;Arm;Vis;0
Ignacio Palacio;P;ARG;N;25;E;N;Pas;Res;0
Matías Nouet;P;ARG;N;33;D;N;Fin;Ace;0
Tiago Pucciarelli;P;ARG;N;20;D;N;Arm;Cri;0
Brandon López;A;ARG;N;22;D;N;Pas;Vel;0
Bruno Medina;A;ARG;N;26;D;N;Fin;Imp;0
Lucas Cano;A;ARG;N;30;D;S;Pas;For;0
Santiago Apa;A;ARG;N;25;D;S;Pas;Res;0
Thiago Calone;A;ARG;N;24;D;N;Chu;Fri;0
