Almagro;ARG;53;Tres de Febrero;Carlos Mayor;ARG;080202;0050DB;19000
Emiliano González;G;ARG;N;28;D;S;Col;Con;0
Franco Mangudo;G;ARG;N;21;D;N;Rbo;Imp;0
Sebastián Anchoverri;G;ARG;N;35;D;N;Col;Con;0
Enzo Silcan;L;ARG;N;26;E;S;Pos;Res;0
Gonzalo Asís;L;ARG;N;30;D;S;Mar;Agi;0
Nicolás Tolosa;L;ARG;N;25;E;N;Cru;Vel;0
Aldo Rimbelitti;Z;ARG;N;22;D;N;Mar;Vel;0
Brian Negro;Z;ARG;N;28;E;N;Mar;For;0
Francisco Marco;Z;ARG;N;23;E;N;Ant;Imp;0
Matías Cortave;Z;ARG;N;34;D;S;Pos;Con;0
Santiago Chamorro;Z;ARG;N;23;D;N;Des;Imp;0
Juan Fernándes Pinto;V;ARG;N;21;D;S;Mar;Agi;0
Matías Laba;V;ARG;N;34;D;N;Des;Con;0
Julián Marchioni;M;ARG;N;33;E;S;Pas;Vis;0
Julián Vitale;M;ARG;N;31;D;S;Pas;Res;0
Tobías Macies;M;ARG;N;25;D;S;Pas;Agi;0
Claudio Salto;P;ARG;N;31;D;N;Pas;Agi;0
Franco Bustamante;P;ARG;N;27;D;S;Dri;Agi;0
Jeremías Bustos;P;ARG;N;23;E;N;Cru;Vel;0
Enzo Martínez;A;ARG;N;29;E;S;Pas;Res;0
Facundo De La Vega;A;ARG;N;23;D;N;Dri;Res;0
Joel Orlando;A;ARG;N;20;D;S;Pas;For;0
Thiago López;A;ARG;N;22;D;N;Fin;Vel;0
Tiziano Dornell;A;ARG;N;21;D;N;Pas;For;0
