Almirante Brown;ARG;58;Fragata Presidente Sarmiento;Andrés Montenegro;ARG;FDE200;000000;25000
Bruno Galván;G;ARG;N;31;D;S;Ref;Imp;0
Enzo Cardozo;L;ARG;N;20;D;S;Cru;Res;0
Leonardo Jara;L;ARG;N;34;D;N;Pos;Ace;0
Tomás Villoldo;L;ARG;N;31;D;S;Cru;For;0
Ulises Abreliano;L;ARG;N;27;E;S;Pas;Ace;0
Agustín Dattola;Z;ARG;N;26;D;N;Des;Vel;0
Gerardo Alegre Rojas;Z;ARG;N;26;D;S;Cab;For;0
Gustavo Cabral;Z;ARG;N;40;D;S;Pos;Imp;0
Máximo Levi;Z;ARG;N;30;D;N;Mar;Vel;0
Facundo Quignón;V;ARG;N;32;E;N;Ant;Agi;0
Franco Almanza;V;ARG;N;25;D;N;Mar;For;0
Gabriel Altamirano;V;ARG;N;24;D;N;Pas;Res;0
Santiago Gauna;V;ARG;N;22;D;N;Chu;Vis;0
Gastón Moreyra;M;ARG;N;26;D;N;Chu;Res;0
Hernán Perrone;M;ARG;N;24;D;N;Arm;Fri;0
Joaquín Velázquez;M;ARG;N;24;D;S;Pas;Agi;0
Luciano Pascual;M;ARG;N;21;D;N;Arm;Fri;0
Mariano Santiago;M;ARG;N;24;D;S;Dri;Fri;0
Tobías Zárate;M;ARG;N;25;D;N;Pas;Vis;0
Tomás Almada;P;ARG;N;24;D;S;Cru;Agi;0
Carlos Gugenheim;A;ARG;N;21;D;N;Cab;For;0
Javier Martínez;A;ARG;N;27;D;N;Fin;Vel;0
Lucas Vega;A;ARG;N;21;D;N;Dri;Res;0
Milton Zanotti;A;ARG;N;22;D;N;Fin;Imp;0
Nazareno Bazán;A;ARG;N;27;D;N;Cab;Fri;0
Ramón González;A;ARG;N;23;E;S;Pas;Vel;0
Santiago Vera;A;ARG;N;27;D;S;Chu;For;0
Santiago Villalba;A;ARG;N;22;D;N;Pas;Imp;0
