Argentinos Juniors;ARG;85;Diego Armando Maradona;Nicolás Diez;ARG;C92F34;FFFFFF;24000
Brayan Cortés;G;CHL;N;31;D;S;Ref;Con;0
Gonzalo Siri;G;ARG;N;23;D;N;Ref;Con;0
Claudio Bravo;L;ARG;N;29;E;N;Pos;Ace;0
Kevin Coronel;L;ARG;N;21;D;N;Des;For;0
Luciano Sánchez;L;ARG;N;32;D;N;Cru;Agi;0
Santiago Silveira;L;ARG;N;18;D;N;Des;Agi;0
Sebastián Prieto;L;ARG;N;33;E;S;Pos;For;0
Francisco Álvarez;Z;ARG;N;26;D;S;Des;Con;0
Franco Paredes;Z;ARG;N;27;D;N;Mar;Res;0
Santino Gianini;Z;ARG;N;17;D;N;Pos;Con;0
Érik Godoy;Z;ARG;N;32;D;S;Pos;Imp;0
Kevin Gutiérrez;V;ARG;N;29;D;N;Des;Con;0
Alan Lescano;M;ARG;N;24;E;S;Pas;Cri;0
Facundo Carrizo;M;ARG;N;19;D;N;Pas;Agi;0
Federico Mancuello;M;ARG;N;36;E;N;Pas;Vis;0
Gabriel Florentín;M;ARG;N;27;D;N;Dri;Fri;0
Gino Infantino;M;ARG;N;23;E;N;Fin;Agi;0
Hernán López Muñoz;M;ARG;N;25;E;S;Pas;Res;0
Nicolás Oroz;M;ARG;N;32;E;S;Chu;Cri;0
Emiliano Viveros;P;ARG;N;23;D;S;Cru;Agi;0
Joaquín Gho;P;ARG;N;23;D;N;Arm;Cri;0
Alan Alcaraz;A;ARG;N;17;D;N;Fin;For;0
Diego Porcel;A;ARG;N;21;D;N;Cab;Imp;0
Facundo Jainikoski;A;ARG;N;18;D;S;Dri;Fri;0
Gastón Bouhier;A;ARG;N;17;E;N;Fin;Vel;0
Gastón Verón;A;ARG;N;25;D;N;Cab;For;0
Iván Morales;A;CHL;N;26;D;S;Pas;Res;0
Matías Giménez;A;ARG;N;27;E;N;Chu;Vel;0
Ryoga Kida;A;JPN;N;21;D;N;Fin;Vel;0
Tomás Molina;A;ARG;N;31;D;S;Fin;Res;0
