Atlanta;ARG;61;León Kolbowski;Cristian Pellerano;ARG;D6B820;0518EB;18000
Francisco Rago;G;ARG;N;37;D;S;Col;Fri;0
Dylan Argüello;L;ARG;N;21;D;N;Cru;Agi;0
Felipe Rocca;L;ARG;N;22;E;N;Des;For;0
Martín García;L;ARG;N;27;D;S;Mar;Vel;0
Rodrigo Sosa;L;ARG;N;23;E;S;Pas;For;0
Leonel Galeano;Z;ARG;N;34;D;N;Pos;Res;0
Patricio Ostachuk;Z;ARG;N;25;D;N;Cab;Con;0
Rodrigo Moreira;Z;ARG;N;29;D;S;Pos;Res;0
Santino Pasini;Z;ARG;N;20;E;N;Ant;For;0
Tomás Rojas;Z;ARG;N;23;E;S;Cab;Imp;0
Valentín Gelos;Z;ARG;N;22;E;N;Pos;Vel;0
Gustavo Mendoza;V;ARG;N;30;D;N;Pas;Con;0
Kevin Benítez;V;ARG;N;24;E;N;Chu;Res;0
Nicolás Previtali;V;ARG;N;30;D;S;Des;Vis;0
Braian Rivero;M;ARG;N;30;D;N;Chu;Res;0
Federico Bisanz;M;ARG;N;24;E;N;Pas;Agi;0
Jeremías Puch;M;ARG;N;26;E;N;Fin;Cri;0
Julián Aquino;M;ARG;N;21;A;N;Arm;Vis;0
Mateo Araujo;M;ARG;N;20;D;N;Fin;Res;0
Thiago Ruíz;M;ARG;N;21;D;N;Chu;Fri;0
Agustín Morales;P;ARG;N;27;D;N;Arm;Ace;0
Christian Bernardi;P;ARG;N;35;D;S;Fin;Ace;0
Federico Álvarez;P;ARG;N;24;D;N;Dri;Res;0
Lautaro Fedele;P;ARG;N;24;D;S;Cru;Agi;0
Tomás Castro Ponce;P;ARG;N;24;D;S;Arm;Cri;0
Vito Esmay;P;ARG;N;22;D;N;Pas;Res;0
Alejandro Quintana;A;ARG;N;34;D;S;Cab;For;0
Federico Castro;A;ARG;N;32;D;N;Pas;Imp;0
Gerónimo Cardozo;A;ARG;N;21;D;N;Cab;Fri;0
Ignacio Rodríguez;A;URY;N;21;D;S;Chu;Res;0
