Atlético Tucumán;ARG;78;Monumental José Fierro;Julio César Falcioni;ARG;FFFFFF;00CCFF;35000
Luis Ingolotti;G;ARG;N;26;D;S;Rbo;Con;0
Tomás Durso;G;ARG;N;27;D;N;Ref;Imp;0
Ignacio Galván;L;ARG;N;23;E;S;Cru;For;0
Juan Infante;L;ARG;N;30;E;N;Pos;Res;0
Leonel Di Plácido;L;ARG;N;32;D;N;Mar;Agi;0
Maximiliano Villa;L;URY;N;29;D;S;Pas;For;0
Moisés Brandán;L;ARG;N;25;D;N;Des;Res;0
Ramiro Paunero;L;ARG;N;21;D;N;Pos;Agi;0
Clever Ferreira;Z;PRY;N;23;D;S;Cab;For;0
Gastón Suso;Z;ARG;N;35;E;S;Mar;Res;0
Gianluca Ferrari;Z;ARG;N;29;D;N;Ant;Vel;0
Juan Gabriel Rodríguez;Z;ARG;N;32;D;N;Cab;Vel;0
Luciano Vallejo;Z;ARG;N;22;E;N;Des;Vel;0
Julián Fernández;V;ARG;N;31;D;N;Des;For;0
Kevin Ortiz;V;ARG;N;25;D;S;Pas;Vis;0
Leonel Vega;V;ARG;N;22;D;N;Mar;Agi;0
Ezequiel Godoy;M;ARG;N;22;E;N;Arm;Res;0
Ezequiel Ham;M;SYR;N;32;D;S;Pas;Agi;0
Lautaro Godoy;M;ARG;N;23;D;N;Dri;Fri;0
Martín Benítez;M;ARG;N;32;D;N;Pas;Vis;0
Facundo Pimienta;P;ARG;N;23;D;N;Fin;Ace;0
Franco Nicola;P;URY;N;24;E;S;Fin;Vel;0
Gabriel Compagnucci;P;ARG;N;34;D;N;Cru;Res;0
Nicolás Laméndola;P;ARG;N;27;D;S;Cru;Ace;0
Renzo Tesuri;P;ARG;N;30;D;S;Pas;Cri;0
Alexis Canelo;A;ARG;N;34;D;N;Pas;For;0
Gabriel Abeldaño;A;ARG;N;21;D;N;Cab;Res;0
Leandro Díaz;A;ARG;N;34;D;S;Pas;For;0
Manuel Brondo;A;ARG;N;24;D;N;Pas;Imp;0
Ramiro Ruiz Rodríguez;A;ARG;N;26;D;N;Chu;Fri;0
