Belgrano;ARG;83;Julio César Villagra;Ricardo Zielinski;ARG;0099D4;FFFFFF;38500
Manuel Vicentini;G;ARG;N;35;D;N;Ref;Con;0
Matías Daniele;G;ARG;N;22;D;N;Sgo;For;0
Thiago Cardozo;G;URY;N;29;D;S;Col;Imp;0
Adrián Spörle;L;ARG;N;30;E;S;Mar;Agi;0
Alcides Benítez;L;PRY;N;23;D;S;Cru;Vel;0
Juan Velázquez;L;ARG;N;21;E;N;Pos;For;0
Alexis Maldonado;Z;ARG;N;28;D;S;Pos;For;0
Federico Ricca;Z;URY;N;31;E;N;Des;Res;0
Leonardo Morales;Z;ARG;N;34;D;S;Des;Con;0
Lisandro López;Z;ARG;N;36;D;S;Ant;Res;0
Santiago Longo;V;ARG;N;27;D;N;Chu;Con;0
Adrián Sánchez;M;ARG;N;26;D;S;Arm;Res;0
Francisco González Metilli;M;ARG;N;28;E;N;Pas;Vis;0
Franco Vázquez;M;ARG;N;37;E;S;Dri;Cri;0
Gonzalo Zelarayán;M;ARG;N;21;E;N;Fin;Agi;0
Lucas Zelarayán;M;ARM;N;33;D;S;Chu;Vis;0
Ramiro Hernandes;M;ARG;N;21;D;N;Fin;Agi;0
Emiliano Rigoni;P;ARG;N;33;A;S;Cru;Ace;0
Lautaro Gutiérrez;A;ARG;N;20;D;N;Pas;Fri;0
Lucas Passerini;A;ARG;N;31;D;N;Chu;Imp;0
Nicolás Fernández;A;ARG;N;30;D;S;Fin;For;0
