Central Córdoba (SdE);ARG;74;Único Madre de Ciudades;Sebastián Domínguez;ARG;FFFFFF;000000;30000
Alan Aguerre;G;ARG;N;35;D;S;Col;For;0
Javier Vallejos;G;ARG;N;23;D;N;Sgo;Imp;0
Fernando Martínez;L;ARG;N;26;D;S;Mar;For;0
José Gómez;L;ARG;N;26;D;N;Des;Res;0
Leonardo Marchi;L;ARG;N;29;E;N;Cru;Ace;0
Santiago Moyano;L;ARG;N;28;D;S;Pos;For;0
Alejandro Maciel;Z;ARG;N;29;D;S;Des;Res;0
Facundo Mansilla;Z;ARG;N;27;E;S;Pos;For;0
Felipe Aguilar;Z;COL;N;33;D;N;Cab;Imp;0
Juan Pablo Pignani;Z;ARG;N;25;D;N;Cab;Res;0
Lucas Bernabéu;Z;ARG;N;22;E;N;Ant;For;0
Yuri Casermeiro;Z;ARG;N;24;D;N;Pos;Vel;0
Matías Vera;V;ARG;N;30;D;S;Chu;Res;0
Tiago Cravero;V;ARG;N;23;D;S;Mar;Vis;0
Fernando Juárez;M;ARG;N;27;D;N;Chu;Agi;0
Juan Cardozo;M;PRY;N;22;D;N;Pas;Cri;0
Lucas González;M;ARG;N;26;D;S;Dri;Vis;0
Marco Iacobellis;M;ARG;N;26;D;N;Fin;Res;0
Diego Barrera;P;ARG;N;22;D;S;Cru;Vel;0
Horacio Tijanovich;P;ARG;N;30;D;N;Fin;Agi;0
Joaquín Flores;P;ARG;N;21;E;N;Arm;Res;0
Alan Daian Laprida;A;ARG;N;21;E;N;Cab;For;0
Bautista Gerez;A;ARG;N;19;D;N;Pas;Imp;0
Ezequiel Naya;A;ARG;N;24;D;S;Chu;Vel;0
Lucas Varaldo;A;ARG;N;24;D;N;Cab;For;0
Michael Santos;A;URY;N;33;D;S;Fin;Res;0
