Chacarita Juniors;ARG;53;Chacarita Juniors;Cristian Grabinski;ARG;FD0800;000000;26500
Enrique Bologna;G;ARG;N;44;D;S;Sgo;Imp;0
Federico Losas;G;ARG;N;24;D;N;Col;Imp;0
Gastón Fernández;G;ARG;N;26;D;N;Ref;Con;0
Brian Calderara;L;ARG;N;28;E;S;Cru;Agi;0
Francisco Facello;L;ARG;N;23;D;S;Pos;For;0
Nicolás Chaves;L;ARG;N;25;E;S;Cru;Ace;0
Nicolás Dell Aquila;L;ARG;N;25;D;N;Pas;For;0
Milton Leyendeker;Z;ARG;N;28;D;S;Pos;Con;0
Nicolás Pantaleone;Z;ARG;N;33;E;S;Ant;Imp;0
Santiago Acosta;Z;ARG;N;20;D;N;Pos;Vel;0
Sergio Vittor;Z;ARG;N;37;D;N;Pos;Res;0
Tomás Migliore;Z;ARG;N;21;E;N;Des;Imp;0
Luciano Perdomo;V;ARG;N;29;D;N;Chu;Con;0
Tomás Pérez Serra;V;ARG;N;27;D;S;Pas;Agi;0
Cristian Guanca;M;ARG;N;33;E;N;Chu;Agi;0
Lucas Bustos;M;ARG;N;21;D;S;Pas;Fri;0
Maximiliano Meléndez;M;ARG;N;22;D;S;Chu;Vis;0
Tomás Pizarro;M;ARG;N;23;E;N;Fin;Agi;0
Álvaro Cuello;M;ARG;N;32;D;S;Dri;Cri;0
Lorenzo Brun;P;ARG;N;21;D;N;Pas;Res;0
Mario Sanabria;P;ARG;N;24;D;S;Fin;Cri;0
Mauricio Cuero;P;COL;N;33;D;N;Cru;Agi;0
Misael Jaime;P;ARG;N;22;A;N;Dri;Ace;0
Alexis Domínguez;A;ARG;N;29;D;N;Dri;Vel;0
Francisco Cristaldo;A;ARG;N;22;D;N;Pas;For;0
