Chaco For Ever;ARG;53;Juan Alberto García;Daniel Cravero;ARG;000000;FFFFFF;25000
Gastón Canuto;G;ARG;N;37;D;N;Col;Imp;0
Nicolás Caprio;G;ARG;N;36;D;S;Ref;Con;0
Agustín Ojeda;L;ARG;N;24;E;S;Cru;Agi;0
Alan Luque;L;ARG;N;27;D;S;Pos;For;0
Joaquín Jara;L;ARG;N;23;D;N;Pas;Agi;0
Lucas Pruzzo;L;ARG;N;31;E;S;Cru;Res;0
David Valdez;Z;ARG;N;32;D;S;Des;Vel;0
Federico Moreno;Z;ARG;N;25;D;S;Ant;Res;0
Mathías Silvera;Z;URY;N;26;E;S;Ant;Con;0
Raúl Zules Caicedo;Z;COL;N;35;D;N;Mar;Imp;0
Ricardo Garay;Z;PRY;N;28;E;N;Pos;For;0
Brian Nievas;V;ARG;N;27;E;N;Chu;Res;0
Juan Carrizo;V;ARG;N;25;D;S;Mar;Con;0
Santiago Valenzuela;V;ARG;N;24;D;N;Chu;For;0
Bahiano Garcia;M;ARG;N;25;E;N;Fin;Agi;0
Tiago Chamorro;M;ARG;N;20;D;N;Arm;Fri;0
Andrés Lioi;P;ARG;N;28;D;S;Dri;Res;0
Brian Guerra;P;ARG;N;30;D;N;Pas;Ace;0
Gonzalo Melgarejo;P;ARG;N;24;E;N;Dri;Vel;0
Juan Cruz Cerrudo;P;ARG;N;22;D;N;Arm;Cri;0
Mauricio Tévez;P;ARG;N;29;D;N;Arm;Cri;0
Agustín Zabaleta;A;ARG;N;23;D;N;Fin;For;0
Ezequiel Pacheco;A;ARG;N;23;D;S;Cab;For;0
Mateo Díaz Chaves;A;ARG;N;22;D;N;Dri;For;0
Matías Romero;A;ARG;N;31;D;S;Pas;Vel;0
