Colón;ARG;61;General Estanislao López;Ezequiel Medrán;ARG;000000;FF0000;40000
Matías Budiño;G;ARG;N;30;D;S;Col;Con;0
Tomás Giménez;G;ARG;N;27;D;N;Sgo;For;0
Tomás Paredes;G;ARG;N;22;D;N;Ref;Fri;0
Conrado Ibarra;L;ARG;N;22;E;N;Cru;Ace;0
Emanuel Beltrán;L;URY;N;28;D;N;Mar;Agi;0
Facundo Castet;L;ARG;N;27;E;S;Des;For;0
Mauro Peinipil;L;ARG;N;26;D;S;Pas;For;0
Federico Rasmussen;Z;ARG;N;33;E;S;Ant;Con;0
Nicolás Thaller;Z;ARG;N;27;D;N;Cab;Imp;0
Pier Barrios;Z;ARG;N;35;D;S;Des;Con;0
Sebastián Olmedo;Z;PRY;N;24;D;N;Des;For;0
Agustín Toledo;V;ARG;N;25;D;N;Des;Agi;0
Federico Lértora;V;ARG;N;35;D;N;Mar;Con;0
Matías Muñoz;V;ARG;N;29;D;S;Mar;Vis;0
Ignacio Antonio;M;ARG;N;31;D;S;Fin;Res;0
Nahuel Giménez;M;ARG;N;21;D;N;Pas;Agi;0
Darío Sarmiento;P;ARG;N;22;E;N;Dri;Agi;0
Franco García;P;ARG;N;28;D;S;Pas;Res;0
Ignacio Lago;P;ARG;N;23;D;S;Fin;Ace;0
Julián Marcioni;P;ARG;N;27;D;S;Arm;Ace;0
Nahuel Curcio;P;ARG;N;22;D;N;Arm;Agi;0
Alan Bonansea;A;ARG;N;29;D;S;Fin;For;0
Franco Déboli;A;ARG;N;25;D;N;Pas;For;0
Leandro Zabala;A;ARG;N;23;D;N;Dri;Vel;0
Matías Córdoba;A;ARG;N;18;D;N;Fin;Imp;0
