Deportivo Madryn;ARG;68;Abel Sastre;Luis García;ARG;FFDF00;000000;8000
Yair Bonnín;G;ARG;N;35;D;S;Ref;Con;0
Agustín Sosa;L;ARG;N;25;D;S;Pos;Res;0
Claudio Corvalán;L;ARG;N;36;E;N;Pos;Agi;0
Diego Martínez;L;ARG;N;34;E;S;Mar;Agi;0
Fernando Bersano;L;ARG;N;28;E;N;Pos;For;0
Lucas Diarte;L;ARG;N;32;E;S;Mar;For;0
Álvaro Dionisio;L;ARG;N;28;D;N;Pas;Ace;0
Alejandro Gutiérrez;Z;COL;N;31;D;N;Cab;Vel;0
Facundo Giacopuzzi;Z;ARG;N;25;D;S;Pos;Imp;0
Franco Godoy;Z;ARG;N;25;E;N;Mar;Res;0
Nicolás Ortiz;Z;ARG;N;31;D;S;Cab;For;0
Thiago Yossen;Z;ARG;N;21;D;S;Mar;Con;0
Víctor Cabrera;Z;ARG;N;33;D;N;Ant;For;0
Federico Recalde;V;ARG;N;29;D;S;Pas;Vis;0
Facundo Ospitaleche;M;URY;N;30;E;N;Arm;Fri;0
Julián Cosi;M;ARG;N;27;D;N;Dri;Cri;0
Camilo Machado;P;COL;N;27;E;N;Cru;Ace;0
Estanislao Jara;P;ARG;N;26;D;N;Arm;Res;0
Ezequiel Montagna;P;ARG;N;32;D;S;Dri;Agi;0
Gabriel Gudiño;P;ARG;N;34;D;N;Fin;Ace;0
Leonardo Marinucci;P;ARG;N;32;D;N;Arm;Cri;0
Nazareno Solís;P;ARG;N;32;E;S;Pas;Cri;0
Yamil García;P;ARG;N;24;D;N;Arm;Res;0
Juan Peinipil;A;ARG;N;24;D;N;Fin;Imp;0
Luis Silba;A;ARG;N;36;D;S;Chu;Fri;0
Nicolás Servetto;A;ARG;N;29;D;N;Pas;Vel;0
