Deportivo Maipú;ARG;64;Omar Higinio Sperdutti;Mariano Echeverría;ARG;000000;FF0000;8000
Luciano Peraggini;G;ARG;N;24;D;N;Ref;Fri;0
Nahuel Galardi;G;ARG;N;23;D;S;Sgo;Con;0
Tomás Clavijo;G;ARG;N;22;E;N;Col;Fle;0
Juan De la Reta;L;ARG;N;20;D;S;Cru;Ace;0
Marco Campagnaro;L;ARG;N;22;E;N;Pas;For;0
Martín Taborda;L;ARG;N;25;E;N;Mar;Agi;0
Mateo Ortale;L;ARG;N;23;D;N;Pas;Ace;0
Nicolás Fernández;L;ARG;N;24;E;N;Pos;For;0
Arón Agüero;Z;ARG;N;23;D;S;Des;Imp;0
Lucas Faggioli;Z;ARG;N;29;D;S;Pos;Con;0
Luciano Arnijas;Z;ARG;N;22;D;S;Ant;Vel;0
Matías Leiva;Z;ARG;N;20;D;N;Mar;For;0
Alan Galeano;V;ARG;N;21;D;N;Mar;Con;0
Enzo Pérez;V;ARG;N;40;D;S;Pas;Con;0
Fausto Montero;V;ARG;N;37;D;N;Ant;Vis;0
Gastón Mansilla;M;ARG;N;28;D;S;Pas;Cri;0
Juan Cruz Arno;M;ARG;N;22;E;N;Arm;Agi;0
Juan Pablo Gobetto;M;ARG;N;29;E;S;Pas;Cri;0
Julián Vera;M;ARG;N;22;D;N;Pas;Res;0
Luca Landriel;M;ARG;N;20;E;N;Fin;Agi;0
Mirko Bonfigli;M;ARG;N;21;D;S;Dri;Res;0
Santiago Paulini;M;ARG;N;23;D;N;Pas;Vis;0
Tomás Silva;M;ARG;N;25;E;S;Arm;Fri;0
Franco Saccone;P;ARG;N;24;D;S;Fin;Vel;0
Matías Viguet;P;ARG;N;27;E;N;Arm;Res;0
Juan Cruz Giacone;A;ARG;N;22;D;N;Cab;Fri;0
Lisandro Cabrera;A;ARG;N;28;D;N;Dri;Vel;0
