Deportivo Morón;ARG;68;Nuevo Francisco Urbano;Walter Otta;ARG;F51111;FFFFFF;32000
Federico Díaz;G;ARG;N;34;D;N;Col;Con;0
Julio Salvá;G;ARG;N;39;D;S;Ref;Con;0
Emanuel Iñiguez;L;ARG;N;29;D;N;Cru;For;0
Gerónimo Ulibarri;L;ARG;N;24;D;N;Cru;Ace;0
Iván Vaquero;L;ARG;N;23;E;N;Pas;Agi;0
Joaquín Livera;L;ARG;N;26;E;S;Des;For;0
Mariano Bíttolo;L;ARG;N;36;E;S;Pas;Vel;0
Braian Salvareschi;Z;ARG;N;27;D;S;Pos;Vel;0
Francisco Flores;Z;ARG;N;24;D;N;Cab;For;0
Franco Vázquez;Z;ARG;N;21;E;S;Pos;Imp;0
Leonel Cardozo;Z;ARG;N;22;D;N;Mar;For;0
Leonel Ramírez;Z;ARG;N;22;D;N;Ant;Res;0
Emiliano Franco;M;ARG;N;31;D;N;Pas;Res;0
Gastón González;M;ARG;N;38;D;N;Arm;Fri;0
Gonzalo Berterame;M;ARG;N;30;D;S;Dri;Cri;0
Juan Manuel Olivares;M;ARG;N;38;D;S;Fin;Vis;0
Mauro Burruchaga;M;ARG;N;28;E;S;Pas;Res;0
Maximiliano González;M;ARG;N;32;D;N;Chu;Cri;0
Santiago Kubiszyn;M;ARG;N;23;D;S;Pas;Vis;0
Tomás Ramírez;M;ARG;N;22;D;N;Arm;Fri;0
Elías Contreras;P;ARG;N;29;D;S;Dri;Agi;0
Juan Cruz Esquivel;P;ARG;N;25;A;N;Cru;Res;0
Franco Fagúndez;A;URY;N;27;E;S;Cab;Imp;0
Franco Toloza;A;ARG;N;32;D;N;Pas;Res;0
Joaquín Zappacosta;A;ARG;N;22;D;N;Fin;Vel;0
Mateo Levato;A;ARG;N;30;D;N;Cab;Fri;0
Matías Benítez;A;ARG;N;25;D;N;Dri;For;0
Mauro Schönfeld;A;ARG;N;23;D;N;Cab;Imp;0
