Estudiantes;ARG;84;Jorge Luis Hirschi;Alexander Medina;URY;DE1D23;FFFFFF;32500
Fabricio Iacovich;G;ARG;N;24;E;N;Sgo;Con;0
Fernando Muslera;G;URY;N;39;D;S;Ref;Fri;0
Rodrigo Borzone;G;ARG;N;21;D;N;Ref;For;0
Eric Meza;L;ARG;N;26;D;S;Cru;Ace;0
Eros Mancuso;L;ARG;N;26;D;N;Des;Agi;0
Gastón Benedetti;L;ARG;N;24;E;S;Pas;For;0
Santiago Arzamendia;L;PRY;N;27;E;N;Cru;Vel;0
Leandro González Pírez;Z;ARG;N;33;D;S;Cab;Imp;0
Ramiro Funes Mori;Z;ARG;N;34;E;N;Pos;Con;0
Santiago Núñez;Z;ARG;N;25;D;N;Ant;For;0
Tomás Palacios;Z;ARG;N;22;E;S;Des;Con;0
Valente Pierani;Z;ARG;N;20;D;N;Mar;Imp;0
Ezequiel Piovi;V;ARG;N;33;D;S;Mar;Vis;0
Gabriel Neves;V;URY;N;28;D;N;Pas;Res;0
Alexis Castro;M;ARG;N;31;E;N;Pas;Fri;0
Baltasar Rodríguez;M;ARG;N;23;D;S;Dri;Cri;0
Facundo Farías;M;ARG;N;23;D;N;Fin;Vis;0
José Sosa;M;ARG;N;40;D;N;Chu;Agi;0
Lucas Cornejo;M;ARG;N;20;E;N;Fin;Vis;0
Miguel Monsalve;M;COL;N;22;D;S;Dri;Vis;0
Brian Aguirre;P;ARG;N;23;D;N;Cru;Agi;0
Edwuin Cetré;P;COL;N;28;D;N;Dri;Cri;0
Fabricio Pérez;P;ARG;N;20;D;S;Fin;Res;0
Joaquín Tobio Burgos;P;ARG;N;21;E;N;Pas;Agi;0
Tiago Palacios;P;URY;N;24;E;N;Arm;Vel;0
Adolfo Gaich;A;ARG;N;26;D;N;Pas;Imp;0
Franco Domínguez;A;ARG;N;18;E;N;Chu;Fri;0
Guido Carrillo;A;ARG;N;34;D;S;Dri;Imp;0
Joaquín Correa;A;ARG;N;31;D;S;Pas;Imp;0
Lucas Alario;A;ARG;N;33;D;N;Dri;Res;0
