Estudiantes de Caseros;ARG;64;Ciudad de Caseros;Alfredo Grelak;ARG;1A1718;FFFFFF;16500
Facundo Vila;G;ARG;N;22;D;N;Rbo;Con;0
Juan Manuel Lungarzo;G;ARG;N;33;E;S;Ref;Con;0
Facundo Ardiles;L;ARG;N;27;D;S;Cru;Res;0
Fernando Duré;L;ARG;N;29;D;N;Des;Agi;0
Franco Quinteros;L;ARG;N;27;E;S;Cru;For;0
Tomás Núñez;L;ARG;N;23;E;N;Pas;Res;0
Tomás Squie;L;ARG;N;27;E;S;Des;Vel;0
Andrés Berizovsky;Z;ARG;N;21;D;N;Mar;Con;0
Balthazar Bernardi;Z;ARG;N;24;D;S;Des;Res;0
Jorge Benítez;Z;ARG;N;31;D;S;Cab;Imp;0
Martin Albarracin;Z;ARG;N;25;D;N;Pos;For;0
Nicolás Caro Torres;Z;ARG;N;30;E;N;Ant;Vel;0
Bautista Degregorio;V;ARG;N;22;D;N;Mar;Con;0
Iván Bonus;V;USA;N;20;D;N;Ant;For;0
Rodrigo Melo;V;ARG;N;30;D;S;Des;Vis;0
Sánchez de León;V;ARG;N;26;D;N;Pas;Vis;0
Lucas Silva;M;ARG;N;22;D;N;Arm;Fri;0
Santiago Camacho;M;ARG;N;29;D;N;Fin;Res;0
Enzo Acosta;P;ARG;N;29;E;S;Dri;Cri;0
Federico Sena;P;ARG;N;28;D;N;Pas;Vel;0
Jorge Correa;P;ARG;N;32;E;S;Fin;Agi;0
Juan Pablo Ruíz;P;ARG;N;32;D;N;Cru;Vel;0
Román Rodríguez;P;ARG;N;22;D;N;Arm;Ace;0
Darío Rostagno;A;ARG;N;24;D;S;Pas;Res;0
Ezequiel Almirón;A;ARG;N;23;E;N;Dri;Vel;0
Felipe Gorla;A;ARG;N;20;D;N;Cab;Vel;0
Ian Vera;A;ARG;N;21;D;N;Pas;For;0
Joel Lucero;A;ARG;N;25;D;N;Cab;Imp;0
Mateo Acosta;A;ARG;N;33;E;S;Pas;Res;0
Teo Cohen;A;ARG;N;21;D;N;Chu;Fri;0
