Gimnasia de Jujuy;ARG;64;23 de Agosto;Hernán Pellerano;ARG;FFFFFF;6BA8DC;24000
Gonzalo Gómez;G;ARG;N;39;D;N;Sgo;For;0
Matías Ramos Mingo;G;ARG;N;25;D;N;Col;Imp;0
Milton Álvarez;G;ARG;N;37;E;S;Rbo;Con;0
Delfor Minervino;L;ARG;N;29;D;S;Pos;Vel;0
Diego López;L;ARG;N;33;D;N;Des;For;0
Emiliano Endrizzi;L;ARG;N;31;E;S;Cru;Agi;0
Franco Camargo;L;ARG;N;25;D;N;Mar;Ace;0
Martín Lazarte;L;ARG;N;20;E;N;Pas;For;0
Nicolás Dematei;L;ARG;N;38;E;S;Cru;Agi;0
Gonzalo Villarreal;Z;ARG;N;27;D;N;Mar;Res;0
Guillermo Cosaro;Z;ARG;N;36;E;S;Cab;Imp;0
Joaquín Varela;Z;ARG;N;28;D;N;Pos;For;0
Sebastián Sánchez;Z;ARG;N;37;A;N;Ant;Con;0
Juan Pablo Córdoba;V;ARG;N;22;D;N;Mar;Con;0
Facundo Maldonado;M;ARG;N;23;D;N;Arm;Vis;0
Federico Paradela;M;ARG;N;24;D;N;Chu;Cri;0
Francisco Maidana;M;ARG;N;24;D;S;Pas;Vis;0
Hugo Soria;M;URY;N;36;D;S;Fin;Res;0
Agustín Alonso;P;ARG;N;25;A;N;Cru;Vel;0
Claudio Pombo;P;ARG;N;31;D;N;Dri;Agi;0
David Gallardo;P;ARG;N;28;D;N;Fin;Cri;0
Francisco Molina;P;ARG;N;35;E;S;Cru;Res;0
Mauro Cachi;P;ARG;N;27;E;S;Pas;Vel;0
Maximiliano Casa;P;ARG;N;33;D;S;Arm;Res;0
Abel Argañaraz;A;ARG;N;27;D;N;Pas;Imp;0
Cristian Menéndez;A;ARG;N;37;D;S;Cab;Vel;0
Gonzalo Puntano;A;ARG;N;21;E;N;Dri;Res;0
Juan Cruz Franzoni;A;ARG;N;26;D;N;Chu;For;0
Manuel Severich;A;ARG;N;22;D;N;Pas;Fri;0
Octavio Bianchi;A;ARG;N;30;D;N;Chu;Imp;0
