Gimnasia La Plata;ARG;81;Juan Carmelo Zerillo;Ariel Pereyra;ARG;FFFFFF;11165B;30500
Julián Kadijevic;G;ARG;N;22;D;N;Ref;Con;0
Nelson Insfrán;G;ARG;N;31;D;S;Col;Imp;0
Barros Schelotto;L;ARG;N;26;D;N;Cru;Agi;0
Fabricio Corbalán;L;ARG;N;22;D;N;Pas;For;0
Matías Melluso;L;ARG;N;28;E;N;Mar;For;0
Pedro Silva Torrejón;L;ARG;N;29;E;S;Cru;Agi;0
Diego Mastrángelo;Z;ARG;N;23;D;N;Mar;Res;0
Enzo Martínez;Z;URY;N;28;E;S;Des;For;0
Germán Conti;Z;ARG;N;32;D;N;Cab;Con;0
Gonzalo Errecalde;Z;ARG;N;26;D;N;Ant;Vel;0
Juan Cortazzo;Z;ARG;N;20;A;N;Pos;Imp;0
Renzo Giampaoli;Z;ARG;N;26;D;S;Des;Vel;0
Ignacio Miramón;V;ARG;N;23;D;S;Des;Vis;0
Mateo Seoane;V;ARG;N;22;D;N;Pas;Con;0
Nicolás Barros Schelotto;V;ARG;N;19;E;S;Chu;For;0
Augusto Max;M;ARG;N;33;D;S;Pas;Vis;0
Juan Pérez;M;COL;N;22;E;N;Fin;Res;0
Leandro Mamut;M;ARG;N;22;D;N;Pas;Agi;0
Nacho Fernández;M;ARG;N;36;E;S;Arm;Fri;0
Santiago Villarreal;M;ARG;N;20;D;N;Dri;Res;0
Alexis Steimbach;P;ARG;N;24;D;S;Dri;Ace;0
Franco Torres;P;ARG;N;27;D;N;Cru;Agi;0
Jeremías Merlo;P;ARG;N;20;D;N;Fin;Cri;0
Lucas Janson;P;ARG;N;31;D;N;Fin;Agi;0
Manuel Panaro;P;ARG;N;23;D;N;Arm;Res;0
Maximiliano Zalazar;P;ARG;N;25;D;N;Cru;Agi;0
Agustín Auzmendi;A;ARG;N;29;D;S;Cab;Imp;0
Agustín Colazo;A;ARG;N;25;D;N;Fin;Imp;0
Ivo Mammini;A;ARG;N;23;D;N;Fin;For;0
Marcelo Torres;A;ARG;N;28;D;S;Pas;Vel;0
