Godoy Cruz;ARG;64;Feliciano Gambarte;Pablo de Muner;ARG;0070D1;FFFFFF;21000
Nicolás Cláa;G;ARG;N;21;E;N;Sgo;For;0
Roberto Ramírez;G;ARG;N;30;D;S;Ref;Con;0
Federico Milo;L;ARG;N;34;E;N;Cru;Agi;0
Francisco Gerometta;L;ARG;N;26;D;N;Pas;For;0
Juan Morán;L;ARG;N;20;E;S;Des;For;0
Lucas Arce;L;ARG;N;28;D;S;Mar;Res;0
Camilo Alessandria;Z;ARG;N;26;E;N;Cab;Imp;0
Diego Viera;Z;PRY;N;35;D;N;Cab;Imp;0
Esteban Burgos;Z;ARG;N;34;D;S;Mar;Con;0
Gonzalo Quinteros;Z;ARG;N;22;D;N;Pos;Vel;0
Leandro Quiroz;Z;ARG;N;22;E;N;Ant;Con;0
Mateo Mendoza;Z;ARG;N;21;D;S;Des;Vel;0
Nahuel Brunet;Z;ARG;N;26;E;S;Mar;Res;0
Tomás Rossi;Z;ARG;N;27;D;S;Pos;Con;0
Benjamín Schamine;V;ARG;N;22;D;N;Des;For;0
Gastón Gil Romero;V;ARG;N;33;D;S;Mar;Res;0
Juan Andrada;V;ARG;N;31;D;N;Ant;For;0
Vicente Poggi;V;URY;N;24;D;S;Chu;Agi;0
Agustín Valverde;M;ARG;N;24;D;N;Fin;Res;0
Brian Orosco;M;ARG;N;28;D;N;Pas;Vis;0
Ezequiel Tejada;M;ARG;N;21;D;N;Arm;Cri;0
Felipe Cairus;M;URY;N;26;D;N;Pas;Vis;0
Misael Sosa;M;ARG;N;24;D;N;Chu;Res;0
Santiago Martínez;M;ARG;N;22;D;N;Fin;Cri;0
Rodrigo Fernández;P;ARG;N;19;D;N;Fin;Ace;0
Axel Rodríguez;A;ARG;N;29;E;N;Fin;Imp;0
Enzo Barrionuevo;A;ARG;N;20;D;N;Dri;Vel;0
Martín Pino;A;ARG;N;28;D;S;Pas;Res;0
Nahuel Ulariaga;A;ARG;N;24;D;S;Chu;Fri;0
Willian Riquelme;A;PRY;N;24;E;N;Cab;Res;0
