Güemes;ARG;48;Arturo Miranda;Pablo Guiñazú;ARG;00458B;FF1418;12000
Alan González;G;ARG;N;30;D;N;Ref;Con;0
Laureano Martínez;G;ARG;N;24;D;N;Col;Fle;0
Leandro Finochietto;G;ARG;N;29;D;S;Ref;Imp;0
Tomás Palleres;G;ARG;N;26;D;N;Col;Con;0
Axel Bordón;L;ARG;N;30;D;S;Cru;Agi;0
Facundo Rizzi;L;ARG;N;28;E;N;Des;For;0
Marcelo Benítez;L;ARG;N;35;E;S;Mar;Ace;0
Rodrigo Arnay;L;ARG;N;21;D;N;Pos;For;0
Alan González;Z;ARG;N;22;D;N;Des;Res;0
Emilio Lazza;Z;ARG;N;32;E;S;Pos;Res;0
Facundo Melillán;Z;ARG;N;29;D;N;Cab;Res;0
Matías Martínez;Z;ARG;N;25;D;N;Pos;Con;0
Tomás Oneto;Z;ARG;N;28;D;N;Mar;Con;0
Walter Juárez;Z;ARG;N;27;D;S;Pos;Imp;0
Óscar Vanegas;Z;COL;N;30;D;S;Mar;For;0
Fernando Godoy;V;ARG;N;36;D;S;Mar;Con;0
Franco Bergés;V;ARG;N;25;D;N;Des;Agi;0
Gianfranco Baier;V;ARG;N;27;D;S;Ant;Vis;0
Lucas Guiñazú;V;PRY;N;19;D;N;Mar;For;0
Maico Quiroz;M;ARG;N;24;D;N;Fin;Agi;0
Santiago Farrera;M;ARG;N;20;E;N;Pas;Agi;0
Axel Pinto;P;ARG;N;25;D;N;Cru;Ace;0
David Véliz;P;ARG;N;26;E;S;Cru;Ace;0
Gianluca Pugliese;P;ARG;N;29;D;N;Arm;Cri;0
Milton Gerez;P;ARG;N;28;D;S;Dri;Vel;0
Ciro Leineker;A;ARG;N;24;D;N;Pas;For;0
Juan Sánchez Sotelo;A;ARG;N;38;D;N;Fin;Vel;0
Santiago Sala;A;ARG;N;24;E;S;Pas;Imp;0
