Huracán;ARG;81;Tomás Adolfo Ducó;Diego Martínez;ARG;FF0000;FFFFFF;48000
Hernán Galíndez;G;ECU;N;38;D;S;Ref;Con;0
Nazareno Durán;G;ARG;N;21;D;N;Sgo;For;0
Sebastián Meza;G;ARG;N;25;D;N;Col;Fri;0
César Ibáñez;L;ARG;N;26;E;S;Des;For;0
Federico Vera;L;ARG;N;27;D;S;Cru;Vel;0
Ignacio Campo;L;ARG;N;20;D;N;Mar;Ace;0
Leandro Lescano;L;ARG;N;22;E;N;Cru;Agi;0
Lucas Blondel;L;CHE;N;29;D;N;Cru;For;0
Daniel Zabala;Z;ARG;N;23;D;N;Des;Res;0
Fabio Pereyra;Z;ARG;N;36;D;S;Mar;Imp;0
Hugo Nervo;Z;ARG;N;35;D;N;Pos;Con;0
Mauro Villar;Z;ARG;N;25;E;N;Ant;For;0
Máximo Palazzo;Z;ARG;N;20;E;N;Pos;Imp;0
Emmanuel Ojeda;V;ARG;N;28;D;S;Pas;Agi;0
Rodrigo Fernández Cedrés;V;URY;N;30;D;S;Des;For;0
Leonardo Gil;M;CHL;N;34;E;S;Chu;Agi;0
Thaiel Peralta;M;ARG;N;17;E;N;Fin;Cri;0
Óscar Romero;M;PRY;N;33;E;N;Arm;Vis;0
Alejandro Martínez;P;ARG;N;28;E;S;Dri;Vel;0
Facundo Kalinger;P;ARG;N;21;E;N;Fin;Cri;0
Facundo Waller;P;URY;N;28;E;S;Cru;Ace;0
Juan Bisanz;P;ARG;N;24;D;N;Cru;Agi;0
Leonardo Sequeira;P;ARG;N;30;D;N;Dri;Vel;0
Santiago Luján;P;ARG;N;24;D;N;Fin;Res;0
Óscar Cortés;P;COL;N;22;D;S;Arm;Cri;0
Ignacio Pussetto;A;ARG;N;30;D;N;Dri;Res;0
Jordy Caicedo;A;ECU;N;28;D;S;Cab;Res;0
