Independiente;ARG;83;Libertadores de América;Jádson Viera;BRA;F00303;FFFFFF;49500
Joaquín Blázquez;G;ARG;N;25;D;N;Col;Con;0
Rodrigo Rey;G;ARG;N;35;D;S;Ref;Fri;0
Santiago Mele;G;URY;N;28;D;N;Sgo;Con;0
Facundo Zabala;L;ARG;N;27;E;S;Cru;For;0
Jonathan De Irastorza;L;ARG;N;21;E;N;Pas;Agi;0
Leonardo Godoy;L;ARG;N;31;D;N;Cru;Res;0
Santiago Arias;L;COL;S;34;D;S;Pas;Ace;0
Franco Calderón;Z;ARG;N;28;D;N;Cab;Vel;0
Juan Fedorco;Z;ARG;N;25;D;S;Des;Con;0
Kevin Lomónaco;Z;ARG;N;24;D;S;Ant;Con;0
Sebastián Valdez;Z;ARG;N;30;D;S;Mar;For;0
David Martínez;V;ARG;N;22;D;N;Des;For;0
Iván Marcone;V;ARG;N;36;D;S;Ant;Con;0
Joel Medina;M;ARG;N;19;D;N;Pas;Vis;0
Lautaro Millán;M;CHL;N;21;D;S;Arm;Vis;0
Luciano Cabral;M;CHL;N;31;D;N;Dri;Agi;0
Mateo Pérez Curci;M;ARG;N;20;D;S;Pas;Res;0
Facundo Valdez;P;ARG;N;20;D;N;Dri;Ace;0
Imanol Machuca;P;MYS;N;26;D;N;Cru;Ace;0
Matías Abaldo;P;URY;N;22;D;S;Fin;Agi;0
Maximiliano Gutiérrez;P;CHL;N;22;D;N;Arm;Res;0
Maximiliano Meza;P;ARG;N;33;D;N;Arm;Cri;0
Rodrigo Márquez;P;ARG;N;24;E;N;Arm;Res;0
Santiago Montiel;P;ARG;N;25;E;S;Dri;Agi;0
Chimy Ávila;A;ARG;N;32;D;N;Pas;Vel;0
Felipe Tempone;A;ARG;N;20;D;N;Fin;For;0
