Independiente Rivadavia;ARG;84;Bautista Gargantini;Alfredo Berti;ARG;112063;FFFFFF;24000
Emmanuel Gómez Riga;G;ARG;N;24;D;N;Ref;Con;0
Nicolás Bolcato;G;ARG;N;22;D;S;Sgo;Imp;0
Ramiro Macagno;G;ARG;N;29;D;N;Ref;Fle;0
Alex Vigo;L;ARG;N;27;D;N;Des;Res;0
Ezequiel Bonifacio;L;ARG;N;32;D;N;Pas;Agi;0
Juan Elordi;L;ARG;N;31;E;S;Mar;For;0
Luciano Gómez;L;ARG;N;30;D;S;Cru;Ace;0
Alejo Osella;Z;ARG;N;25;D;N;Mar;Imp;0
Iván Villalba;Z;PRY;N;31;D;S;Des;Vel;0
Leonard Costa;Z;URY;N;27;D;S;Pos;For;0
Santiago Cena;Z;ARG;N;21;D;N;Cab;Con;0
Sheyko Studer;Z;ARG;N;23;D;S;Pos;For;0
Kevin Vázquez;V;ARG;N;25;D;N;Pas;Vis;0
Leonel Bucca;V;ARG;N;27;E;N;Mar;For;0
Stefano Moreyra;V;ARG;N;24;D;N;Ant;Con;0
Gonzalo Ríos;M;ARG;N;27;D;S;Fin;Agi;0
José Florentín;M;PRY;N;29;E;S;Chu;Vis;0
Luis Sequeira;M;ARG;N;23;D;N;Pas;Agi;0
Matías Fernández;M;ARG;N;24;D;S;Chu;Vis;0
Tomás Bottari;M;ARG;N;25;D;S;Pas;Res;0
Alessandro Riep;P;ARG;N;22;D;N;Cru;Agi;0
Diego Crego;P;ARG;N;28;E;N;Fin;Ace;0
Fabrizio Sartori;P;ARG;N;23;D;S;Dri;Cri;0
Luis Díaz;P;COL;N;22;D;N;Fin;Vel;0
Rodrigo Atencio;P;ARG;N;23;E;N;Pas;Vel;0
Maximiliano Salas;A;ARG;N;28;E;N;Pas;For;0
Victorio Ramis;A;ARG;N;31;D;N;Cab;Vel;0
Álex Arce;A;PRY;N;30;D;N;Chu;Fri;0
