Instituto;ARG;83;Monumental Presidente Perón;Diego Flores;ARG;FF2424;FFFFFF;26000
Emanuel Sittaro;G;ARG;N;26;D;N;Sgo;Imp;0
Lautaro Maldonado;G;ARG;N;25;E;N;Ref;Fle;0
Marcos Ledesma;G;ARG;N;29;D;S;Sgo;Con;0
Andrés Meli;L;ARG;N;25;E;N;Pos;Ace;0
Diego Sosa;L;ARG;N;29;E;S;Cru;Ace;0
Giuliano Cerato;L;ARG;N;28;D;S;Cru;For;0
Hernán de la Fuente;L;ARG;N;29;D;N;Des;Agi;0
Iván Erquiaga;L;ARG;N;27;E;N;Mar;Res;0
Agustín Bravo;Z;ARG;N;25;E;N;Mar;Vel;0
Agustín Massaccesi;Z;ARG;N;23;D;N;Des;Con;0
Fernando Alarcón;Z;ARG;N;32;D;S;Pos;For;0
Jonatan Galván;Z;ARG;N;34;D;S;Cab;Vel;0
Leonel Mosevich;Z;ARG;N;29;D;S;Mar;Imp;0
Gustavo Abregú;V;ARG;N;29;D;S;Ant;Con;0
Joaquín Medina;V;ARG;N;21;D;N;Pas;Agi;0
Alex Luna;M;ARG;N;22;D;S;Arm;Vis;0
Franco Moyano;M;ARG;N;28;D;N;Pas;Res;0
Jeremías Lázaro;M;ARG;N;22;D;N;Arm;Fri;0
Matías Gallardo;M;ARG;N;22;E;N;Fin;Cri;0
Wílder Viera;M;PRY;N;24;E;N;Pas;Vis;0
Jhon Córdoba;P;COL;N;26;D;S;Dri;Res;0
Jonás Acevedo;P;ARG;N;29;E;N;Cru;Cri;0
Lorenzo Albarracín;P;ARG;N;19;E;N;Pas;Res;0
Luca Rafaelli;P;ARG;N;17;D;N;Dri;Agi;0
Lucas Sanseviero;P;URY;N;25;D;N;Pas;Vel;0
Facundo Suárez;A;ARG;N;32;D;N;Cab;For;0
Jonathan Dellarossa;A;ARG;N;26;D;N;Cab;Fri;0
Matías Fonseca;A;URY;N;25;D;S;Dri;Imp;0
Matías Tissera;A;ARG;N;29;D;N;Fin;Res;0
Nicolás Guerra;A;CHL;N;27;D;S;Chu;Res;0
