Los Andes;ARG;56;Eduardo Gallardón;Leonardo Lemos;ARG;FF0000;FFFFFF;35000
Javier Bustillos;G;ARG;N;28;D;S;Ref;Fle;0
Sebastián López;G;ARG;N;40;D;N;Col;Con;0
Aaron Sandoval;L;ARG;N;20;D;N;Mar;Agi;0
Gabriel Carrasco;L;ARG;N;28;D;N;Des;Agi;0
Iván Grance;L;ARG;N;26;E;S;Cru;For;0
Julián Navas;L;ARG;N;32;D;S;Des;For;0
Nazareno Fernández Colombo;L;ARG;N;29;E;N;Pos;Agi;0
Brian Leizza;Z;ARG;N;25;D;S;Des;For;0
Daniel Franco;Z;ARG;N;34;E;S;Ant;Con;0
Julián Rodríguez Vuotto;Z;ARG;N;25;D;N;Pos;Con;0
Gonzalo Cozzoni;V;ARG;N;37;D;N;Mar;Con;0
Alex Valdez Chamorro;M;PRY;N;19;D;N;Arm;Agi;0
Francisco Funes;M;ARG;N;24;D;N;Pas;Vis;0
Franco Rodríguez;M;ARG;N;26;D;S;Pas;Res;0
Gabriel Cañete;M;ARG;N;27;D;S;Arm;Res;0
Juan Manuel Vázquez;M;ARG;N;31;D;N;Dri;Agi;0
Matias Gómez;M;ARG;N;22;D;N;Pas;Agi;0
Sergio Ortíz;M;ARG;N;25;D;N;Fin;Res;0
Tomás Díaz;M;ARG;N;24;E;N;Pas;Agi;0
Facundo Villarreal;P;ARG;N;20;A;N;Pas;Res;0
Matías González;P;ARG;N;26;D;S;Arm;Ace;0
Camilo Viganoni;A;ARG;N;22;D;N;Fin;For;0
Facundo Echevarría;A;ARG;N;23;D;N;Pas;Vel;0
Franco Tisera;A;ARG;N;36;D;S;Dri;Vel;0
Mario Galeano;A;ARG;N;24;D;S;Pas;For;0
Mauricio Asenjo;A;ARG;N;31;D;S;Cab;Fri;0
Tomás Blanco;A;ARG;N;26;D;N;Chu;For;0
