Midland;ARG;62;Ciudad de Libertad;Joaquín Iturrería;ARG;FFFFFF;000000;5000
Lucas Escobar;G;ARG;N;24;D;N;Col;Imp;0
Mauro Leguiza;G;ARG;N;32;D;S;Col;Con;0
Santiago Garcia Rossi;G;ARG;N;21;D;N;Ref;Fle;0
Emilio Porro;L;ARG;N;30;D;N;Cru;Res;0
Lautaro Díaz Laharque;L;ARG;N;30;D;S;Des;For;0
Mariano Penepil;L;ARG;N;23;E;S;Pas;Vel;0
Genaro Cepeda;Z;ARG;N;25;D;S;Des;For;0
Joel Canalda;Z;ARG;N;21;D;N;Mar;Con;0
Luciano Recalde;Z;ARG;N;30;E;N;Cab;For;0
Pablo Casarico;Z;ARG;N;25;E;S;Pos;Con;0
Pedro Castorani;Z;ARG;N;23;D;N;Ant;Con;0
Tomás Muia;Z;ARG;N;22;A;N;Pos;Vel;0
Jesús Camaño;V;ARG;N;24;D;S;Pas;Res;0
Dylan Aguilar;M;ARG;N;22;D;N;Pas;Agi;0
Marcos Roseti;M;ARG;N;28;D;S;Arm;Res;0
Matías Abruzzese;M;ARG;N;25;D;N;Fin;Fri;0
Matías Flores;M;MEX;N;25;E;S;Arm;Agi;0
Mauro Frattini;M;ARG;N;36;D;N;Pas;Vis;0
Nicolás Violini;M;ARG;N;26;D;S;Pas;Res;0
Facundo Marín;P;ARG;N;25;D;N;Fin;Agi;0
Ramiro Luna;P;ARG;N;31;E;N;Fin;Res;0
Valentino Madalón;P;ARG;N;21;D;N;Fin;Ace;0
David Bulacio;A;ARG;N;24;D;N;Pas;Vel;0
Diago Guzmán;A;ARG;N;20;D;N;Dri;Vel;0
Jeremías Perales;A;ARG;N;25;D;S;Fin;Fri;0
Matteo Cucinotta;A;ARG;N;21;D;N;Pas;For;0
Rodrigo Cao;A;ARG;N;25;D;S;Fin;Res;0
Santino Primante;A;ARG;N;21;D;N;Pas;For;0
