Newell's Old Boys;ARG;74;Marcelo Bielsa;Frank Darío Kudelka;ARG;FA0505;080808;49000
Gabriel Arias;G;CHL;N;38;D;S;Sgo;Imp;0
Josué Reinatti;G;ARG;N;23;D;N;Sgo;Con;0
Alejo Montero;L;ARG;N;28;D;N;Pos;Ace;0
Armando Méndez;L;URY;N;30;D;S;Cru;Res;0
Franco Escobar;L;ARG;N;31;D;N;Mar;Vel;0
Martín Luciano;L;ARG;N;22;E;N;Mar;Vel;0
Martín Ortega;L;ARG;N;26;D;N;Pas;Ace;0
Bruno Cabrera;Z;ARG;N;29;D;N;Pos;For;0
Ian Glavinovich;Z;ARG;N;24;D;N;Des;Imp;0
Lautaro Giannetti;Z;ARG;N;32;D;N;Mar;For;0
Lucas Carrizo;Z;ARG;N;28;E;N;Cab;Vel;0
Nicolás Goitea;Z;ARG;N;29;D;S;Pos;For;0
Oscar Salomón;Z;ARG;N;27;D;N;Mar;Con;0
Saúl Salcedo;Z;PRY;N;28;D;S;Cab;Vel;0
Luca Regiardo;V;ARG;N;19;D;S;Des;Res;0
Marcelo Esponda;V;ARG;N;23;D;N;Ant;Con;0
Rodrigo Herrera;V;ARG;N;26;D;S;Mar;Res;0
Valentino Acuña;V;ARG;N;20;E;N;Pas;Vis;0
Alan Soñora;M;USA;N;28;E;N;Pas;Agi;0
David Sotelo;M;ARG;N;23;D;N;Dri;Vis;0
Facundo Guch;M;ARG;N;19;E;S;Arm;Res;0
Gómez Mattar;M;ARG;N;18;D;S;Fin;Agi;0
Lucas Gómez;M;ARG;N;22;D;N;Pas;Cri;0
Jeronimo Russo;P;ARG;N;21;E;S;Cru;Ace;0
Mateo García;P;ARG;N;29;E;N;Dri;Agi;0
Walter Mazzantti;P;ARG;N;29;D;S;Dri;Vel;0
Francisco Scarpeccio;A;ARG;N;20;D;N;Pas;For;0
Ignacio Ramírez;A;URY;N;29;D;N;Cab;For;0
Matías Cóccaro;A;URY;N;28;D;N;Pas;Vel;0
Walter Núñez;A;ARG;N;23;D;S;Cab;Imp;0
