Nueva Chicago;ARG;56;Nueva Chicago;Germán Lanaro;ARG;077D40;000000;25000
Luciano Jachfe;G;ARG;N;24;E;S;Ref;Imp;0
Diego Arroyo;L;ARG;N;23;E;N;Mar;Ace;0
Gonzalo Trindade;L;ARG;N;21;E;N;Cru;For;0
Guillermo Ferracuti;L;ARG;N;35;E;S;Pas;Res;0
Ian Silveira;L;ARG;N;20;E;N;Des;Ace;0
Iván Antunes;L;ARG;N;27;D;S;Pos;Ace;0
Matías Vera;L;ARG;N;27;D;N;Cru;For;0
Bruno Palazzo;Z;ARG;N;25;D;S;Mar;For;0
Dylan Gissi;Z;CHE;N;34;D;N;Pos;Con;0
Elías Machuca;Z;ARG;N;22;D;N;Des;For;0
Gerónimo Velozo;Z;ARG;N;22;E;N;Mar;Vel;0
Román Zalazar;Z;ARG;N;21;D;S;Pos;Imp;0
Emiliano Méndez;V;ARG;N;37;D;S;Pas;Vis;0
Germán Mansilla;V;ARG;N;27;D;N;Ant;For;0
Lucas Vázquez;V;ARG;N;22;E;N;Des;Con;0
Maximiliano Rogoski;V;ARG;N;31;D;S;Chu;Vis;0
Alan Ruiz;M;ARG;N;32;E;N;Pas;Vis;0
Gabriel Vega;M;ARG;N;23;D;S;Pas;Fri;0
Javier Pereyra;M;ARG;N;24;D;N;Fin;Res;0
Rodrigo Ramírez;M;ARG;N;26;D;N;Chu;Fri;0
Tomás Orqueida;M;ARG;N;22;D;N;Arm;Res;0
Tomás Rodriguez;M;ARG;N;24;D;S;Dri;Cri;0
Diego Barros;P;ARG;N;20;E;N;Cru;Agi;0
Evelio Cardozo;P;ARG;N;25;D;N;Dri;Vel;0
Lucas Ambrogio;P;ARG;N;26;D;S;Cru;Cri;0
Lucas López;P;ARG;N;27;E;N;Pas;Ace;0
Matías Bergara;P;ARG;N;22;E;N;Dri;Vel;0
Ramiro Balbuena;P;ARG;N;25;E;N;Arm;Res;0
Facundo Castro;A;ARG;N;29;D;N;Pas;For;0
Sebastián Cocimano;A;ARG;N;25;D;S;Chu;Imp;0
