Patronato;ARG;51;Presbítero Bartolomé Grella;Marcelo Candia;ARG;D70000;000000;22000
Alan Sosa;G;ARG;N;30;D;S;Ref;For;0
Franco Rivasseau;G;ARG;N;28;D;N;Rbo;Con;0
Román Peralta;G;ARG;N;22;D;N;Sgo;Con;0
Juan Salas;L;ARG;N;28;D;S;Pas;For;0
Nahuel Genez;L;ARG;N;23;E;N;Cru;Agi;0
Facundo Díaz;Z;ARG;N;25;D;N;Pos;Res;0
Fernando Evangelista;Z;ARG;N;34;E;N;Ant;Vel;0
Fernando Moreyra;Z;ARG;N;35;E;S;Mar;Imp;0
Franco Meritello;Z;ARG;N;30;D;S;Pos;For;0
Gabriel Díaz;Z;ARG;N;23;D;S;Mar;Imp;0
Santiago Piccioni;Z;ARG;N;23;E;S;Pos;Imp;0
Brandon Cortés;M;CHL;N;25;D;S;Dri;Cri;0
Federico Bravo;M;ARG;N;32;D;S;Chu;Vis;0
Gonzalo Salega;M;ARG;N;27;D;N;Dri;Agi;0
Juan Pablo Barinaga;M;ARG;N;26;D;N;Pas;Fri;0
Alejo Miró;P;ARG;N;21;D;N;Pas;Cri;0
Augusto Picco;P;ARG;N;22;D;N;Dri;Vel;0
Facundo Heredia;P;ARG;N;27;E;N;Fin;Agi;0
Luciano Pacco;P;ARG;N;22;D;N;Cru;Ace;0
Valentín Pereyra;P;ARG;N;24;E;S;Pas;Agi;0
Valentín Villarreal;P;ARG;N;21;D;N;Fin;Res;0
Walter Rueda;P;ARG;N;28;D;S;Cru;Agi;0
Diego Díaz;A;ARG;N;24;D;N;Cab;Fri;0
Franco Soldano;A;ARG;N;31;D;S;Chu;For;0
Hernán Rivero;A;ARG;N;33;D;N;Dri;Res;0
Joaquín Barolín;A;ARG;N;23;D;N;Pas;For;0
Renzo Reynaga;A;ARG;N;27;D;N;Chu;Imp;0
Tomás Attis;A;ARG;N;26;D;N;Cab;Vel;0
