Platense;ARG;76;Ciudad de Vicente López;Martín Palermo;ARG;FFFFFF;47220D;34500
Nicolás Sumavil;G;ARG;N;26;D;S;Sgo;Imp;0
Agustín Lagos;L;ARG;N;24;D;N;Cru;For;0
Fabricio López;L;ARG;N;23;D;N;Pas;Agi;0
Juan Ignacio Saborido;L;ARG;N;27;D;S;Pas;Ace;0
Tomás Silva;L;ARG;N;22;E;S;Mar;Res;0
Eugenio Raggio;Z;ARG;N;24;D;S;Des;Vel;0
Ignacio Vázquez;Z;ARG;N;28;D;S;Mar;Con;0
Mateo Mendía;Z;ARG;N;22;D;N;Pos;For;0
Victor Cuesta;Z;ARG;N;37;E;N;Ant;Con;0
Felipe Bussio;V;ARG;N;21;D;N;Pas;Vis;0
Iván Gómez;V;ARG;N;28;D;N;Mar;Con;0
Maximiliano Amarfil;V;ARG;N;24;D;S;Ant;Res;0
Franco Zapiola;M;ARG;N;25;D;S;Chu;Cri;0
Leonardo Heredia;M;ARG;N;30;D;N;Fin;Agi;0
Martín Barrios;M;URY;N;27;D;N;Pas;Fri;0
Pablo Ferreira;M;ARG;N;21;D;N;Arm;Cri;0
Santiago Dalmasso;M;ARG;N;21;D;N;Pas;Res;0
Bautista Merlini;P;ARG;N;30;D;N;Dri;Res;0
Franco Minerva;P;ARG;N;20;E;N;Pas;Ace;0
Gastón Togni;P;ARG;N;28;E;S;Fin;Vel;0
Guido Mainero;P;ARG;N;30;D;S;Cru;Res;0
Juan Carlos Gauto;P;ARG;N;21;D;S;Fin;Agi;0
Nicolás Retamar;P;ARG;N;27;D;N;Pas;Cri;0
Augusto Lotti;A;ARG;N;29;D;N;Cab;Res;0
Gonzalo Lencina;A;ARG;N;28;D;N;Chu;Fri;0
Héctor Bobadilla;A;PRY;N;24;D;N;Fin;For;0
Luciano Giménez;A;ARG;N;26;D;N;Dri;Imp;0
Nicolás López;A;URY;N;32;E;S;Fin;Fri;0
Tomás Nasif;A;ARG;N;22;D;N;Chu;Imp;0
