Quilmes;ARG;61;Centenario Ciudad de Quilmes;Emanuel Tripodi;ARG;091F92;FFFFFF;32000
Esteban Glellel;G;SYR;N;27;D;N;Ref;Fle;0
Gonzalo Marinelli;G;ARG;N;37;D;S;Col;Con;0
Agustín Bindella;L;ARG;N;24;E;S;Cru;Vel;0
Julián Gurzi;L;ARG;N;21;D;N;Mar;Agi;0
Martín Vallejos;L;ARG;N;25;D;S;Pos;Res;0
Nicolás Colazo;L;ARG;N;35;E;S;Des;Res;0
Thomas Ortega;L;ARG;N;25;E;N;Mar;For;0
Ariel Kippes;Z;ARG;N;31;D;S;Cab;Imp;0
Joaquín Novillo;Z;ARG;N;28;E;S;Cab;Res;0
Lucas Romeo;Z;ARG;N;21;D;N;Pos;Vel;0
Agustín Bolívar;V;ARG;N;30;D;N;Ant;Con;0
Axel Batista;M;ARG;N;23;D;N;Dri;Vis;0
Juan Yangali;M;ARG;N;25;E;S;Fin;Cri;0
Máximo Paredes;M;ARG;N;21;D;N;Pas;Res;0
Ulises Vera;M;ARG;N;22;D;S;Fin;Cri;0
Mauro Fernández;P;ARG;N;36;D;S;Cru;Agi;0
Ramiro Martínez;P;ARG;N;22;D;S;Dri;Vel;0
Aaron Spetale;A;ARG;N;25;D;N;Chu;Res;0
Agustín Lavezzi;A;ARG;N;30;D;S;Cab;For;0
Gabriel Vázquez;A;ARG;N;17;E;N;Pas;For;0
Jano Coronel;A;ARG;N;22;D;N;Chu;Imp;0
Pio Bonacci;A;ARG;N;27;D;N;Chu;For;0
