Racing de Córdoba;ARG;51;Miguel Sancho;Gustavo Coleoni;ARG;00A2E0;FFFFFF;22000
Brian Olivera;G;ARG;N;32;D;S;Sgo;Imp;0
Gonzalo Laborda;G;ARG;N;31;D;N;Col;Fri;0
Emanuel Diaz;L;ARG;N;23;E;S;Cru;Res;0
Fabrizio Ghiggia;L;ARG;N;22;D;N;Pas;Agi;0
Lucas Flores;L;ARG;N;24;D;N;Mar;Res;0
Raul Chamorro;L;ARG;N;26;D;N;Pas;Vel;0
Santiago Rinaudo;L;ARG;N;27;D;S;Mar;Res;0
Alejandro Rébola;Z;ARG;N;37;D;S;Ant;For;0
Francisco Martin;Z;ARG;N;20;D;N;Mar;Con;0
Gabriel Aranda;Z;ARG;N;24;D;N;Pos;Res;0
Matías Sánchez;Z;ARG;N;26;E;S;Mar;Con;0
Tomás Kummer;Z;ARG;N;21;D;S;Des;Vel;0
Wilfredo Olivera;Z;ARG;N;38;D;N;Mar;For;0
Abel Bustos;V;ARG;N;26;D;N;Pas;Vis;0
Alan Olinick;V;ARG;N;25;D;S;Des;Agi;0
Cristian Vega;V;ARG;N;32;D;N;Des;Con;0
Gaspar Vega;V;ARG;N;33;D;N;Chu;Con;0
Francisco Monticelli;M;ARG;N;23;D;N;Fin;Cri;0
Matías Machado;M;ARG;N;24;D;S;Arm;Res;0
Román Achaval;M;ARG;N;23;D;N;Fin;Agi;0
Facundo Taborda;P;ARG;N;25;D;N;Pas;Vel;0
Leandro Córdoba;P;ARG;N;20;D;S;Cru;Agi;0
Luciano Viano;P;ARG;N;23;D;S;Dri;Ace;0
Ricardo Centurión;P;ARG;N;33;D;N;Fin;Res;0
Pablo Chavarría;A;ARG;N;38;D;S;Fin;Res;0
Sebastián Marfort;A;ARG;N;23;E;N;Chu;Fri;0
Sergio González;A;ARG;N;30;D;N;Pas;Vel;0
Valsangiácomo;A;ARG;N;29;E;N;Cab;Imp;0
