Rosario Central;ARG;84;Gigante de Arroyito;Jorge Almirón;ARG;0000FF;FFFF00;48000
Axel Werner;G;ARG;N;30;D;N;Col;Imp;0
Conan Ledesma;G;ARG;N;33;D;S;Ref;Con;0
Damián Fernández;G;ARG;N;22;D;N;Sgo;Fri;0
Agustín Sández;L;PRY;N;25;E;S;Pas;Ace;0
Alexis Soto;L;ARG;N;32;E;N;Des;Res;0
Emanuel Coronel;L;ARG;N;29;D;S;Pos;Agi;0
Ulises Ciccioli;L;ARG;N;23;D;N;Mar;Ace;0
Facundo Mallo;Z;URY;N;31;D;N;Mar;For;0
Gastón Ávila;Z;ARG;N;24;E;S;Des;Imp;0
Ignacio Ovando;Z;ARG;N;19;D;S;Pos;For;0
Juan Cruz Komar;Z;ARG;N;29;D;N;Cab;Imp;0
Juan Giménez;Z;ARG;N;20;D;N;Des;Con;0
Luca Raffin;Z;ARG;N;20;D;N;Cab;Con;0
Sebastián Zaracho;Z;PRY;N;27;E;N;Mar;For;0
Federico Navarro;V;ARG;N;26;D;N;Des;Con;0
Franco Ibarra;V;ARG;S;25;D;S;Pas;For;0
Vicente Pizarro;V;CHL;N;23;E;S;Mar;Agi;0
Alan Rodríguez;M;URY;N;26;D;N;Pas;Agi;0
Pol Fernández;M;ARG;N;34;D;N;Pas;Vis;0
Santiago Segovia;M;ARG;N;19;D;N;Dri;Cri;0
Franco Cervi;P;ARG;N;32;E;N;Cru;Vel;0
Gaspar Duarte;P;ARG;N;23;D;N;Arm;Ace;0
Giovanni Cantizano;P;ARG;N;19;D;N;Fin;Res;0
Julián Fernández;P;ARG;N;22;E;S;Pas;Agi;0
Jáminton Campaz;P;COL;N;26;E;S;Dri;Cri;0
Ángel Di María;P;ARG;S;38;E;S;Cru;Vel;0
Enzo Copetti;A;ARG;N;30;D;S;Cab;Res;0
Fabricio Oviedo;A;ARG;N;22;D;N;Chu;Fri;0
Marco Ruben;A;ARG;N;39;D;N;Pas;Imp;0
Tomás Badaloni;A;ARG;N;26;E;N;Fin;For;0
