San Lorenzo;ARG;78;Nuevo Gasómetro;Néstor Gorosito;ARG;EB1A28;FFFFFF;47500
Facundo Altamirano;G;ARG;N;30;D;N;Col;Fri;0
José Devecchi;G;ARG;N;31;D;S;Ref;Con;0
Ezequiel Herrera;L;ARG;N;23;D;S;Cru;Ace;0
Mathías De Ritis;L;URY;N;23;E;S;Des;For;0
Nahuel Arias;L;ARG;N;21;D;N;Pas;Ace;0
Rodríguez Pagano;L;ARG;N;20;E;N;Mar;Vel;0
Alejo Córdoba;Z;ARG;N;22;D;N;Mar;Imp;0
Danilo Arboleda;Z;COL;N;31;D;N;Mar;Con;0
Emiliano Amor;Z;SYR;N;31;D;N;Pos;Con;0
Franco Lorenzon;Z;ARG;N;25;D;N;Des;For;0
Gastón Hernández;Z;ARG;N;28;D;S;Pos;Con;0
Guzmán Corujo;Z;URY;N;30;D;N;Des;For;0
Ignacio Perruzzi;V;ARG;N;21;D;S;Pas;Con;0
Nicolás Tripichio;V;ARG;N;30;D;S;Mar;Vis;0
Facundo Gulli;M;ARG;N;20;D;S;Dri;Cri;0
Gonzalo Abrego;M;ARG;N;26;D;N;Pas;Res;0
Juan Rattalino;M;ARG;N;22;D;N;Arm;Fri;0
Manuel Insaurralde;M;ARG;N;27;D;S;Pas;Cri;0
Martín Río;M;ARG;N;25;D;N;Arm;Fri;0
Mauricio Cardillo;M;ARG;N;23;D;N;Arm;Res;0
Agustín Ladstatter;P;ARG;N;21;E;N;Cru;Agi;0
Ezequiel Cerutti;P;ARG;N;34;D;N;Pas;Ace;0
Juan Pablo Álvarez;P;ARG;N;30;D;N;Pas;Res;0
Matías Reali;P;ARG;N;28;A;N;Arm;Vel;0
Nahuel Barrios;P;ARG;N;28;D;S;Dri;Ace;0
Alexis Cuello;A;ARG;N;26;D;S;Pas;For;0
Branco Salinardi;A;ARG;N;19;D;N;Fin;Imp;0
Diego Herazo;A;COL;N;30;D;N;Cab;Fri;0
Gustavo del Prete;A;ARG;N;30;E;N;Fin;Vel;0
Rodrigo Auzmendi;A;ARG;N;25;D;S;Dri;Res;0
