San Miguel;ARG;56;Malvinas Argentinas;Matías Módolo;ARG;00933D;FCFCFC;12000
Andrés Sosa;G;ARG;N;20;D;N;Sgo;Fle;0
Mateo Ledesma Reynoso;G;ARG;N;22;D;S;Col;For;0
Alexis Cruz;L;ARG;N;26;E;S;Cru;For;0
Damián Adín;L;ARG;N;28;D;N;Mar;Ace;0
Lucio Pérez;L;ARG;N;28;D;S;Pas;Vel;0
Dixon Rentería;Z;COL;N;30;D;S;Cab;Con;0
Facundo Cardozo;Z;ARG;N;30;E;S;Ant;Res;0
Franco Aguirre;Z;ARG;N;24;D;N;Pos;Con;0
Kevin Ceceri;Z;ARG;N;30;E;N;Des;For;0
Santiago Albornós;Z;ARG;N;21;D;N;Mar;Con;0
Elian De La Cruz;V;ARG;N;21;D;N;Chu;Agi;0
Fabrizio Almeida;V;ARG;N;24;E;N;Pas;For;0
Leandro Desábato;V;ARG;N;35;D;S;Ant;Con;0
Thomas Carosio;V;ARG;N;22;D;N;Des;Res;0
Iván Ramírez;M;ARG;N;36;E;S;Fin;Agi;0
Mateo Serra;M;ARG;N;21;E;S;Arm;Cri;0
Matías Benítez;M;ARG;N;23;D;N;Dri;Fri;0
Daniel Juárez;P;ARG;N;24;D;N;Arm;Res;0
Jorge Ferrero;P;ARG;N;33;D;N;Dri;Ace;0
Lucas Brochero;P;ARG;N;27;D;N;Pas;Vel;0
Máximo Osés;P;ARG;N;20;D;S;Fin;Cri;0
Tomás Díaz;P;ARG;N;28;D;N;Pas;Agi;0
Bruno Nasta;A;ARG;N;33;D;S;Cab;Vel;0
Gustavo Fernández;A;ARG;N;35;D;N;Cab;Fri;0
Lucas Delgado;A;ARG;N;30;D;S;Fin;For;0
Tomás Jérez;A;ARG;N;22;D;N;Chu;Imp;0
