San Telmo;ARG;49;Dr. Osvaldo Baletto;Marcelo Vázquez;ARG;079CD6;1B1751;10000
Gabriel Ratalín;G;ARG;N;28;D;N;Rbo;Fri;0
Joaquín Enrico;G;ARG;N;24;D;S;Sgo;Fle;0
Juan Pablo Rial;G;ARG;N;21;D;N;Ref;Con;0
Gabriel Paredes;L;ARG;N;22;E;S;Cru;Agi;0
Juan Ignacio Motroni;L;ARG;N;27;D;S;Mar;For;0
Martín González;L;ARG;N;25;D;S;Pos;Ace;0
Rodrigo Dinocco;L;ARG;N;24;E;N;Pas;Ace;0
Emanuel Díaz;Z;ARG;N;28;D;S;Cab;For;0
Facundo Roncaglia;Z;ARG;N;39;D;N;Pos;Con;0
Leonel Pollacchi;Z;ARG;N;22;D;S;Mar;Vel;0
Lázaro Britez;Z;ARG;N;21;D;N;Des;For;0
Elías Brítez;V;ARG;N;24;D;S;Chu;Vis;0
Ian Pardo;V;ARG;N;22;D;N;Mar;Con;0
Matías Ledesma;V;ARG;N;26;A;S;Chu;Vis;0
Renzo Uriburu;M;ARG;N;22;D;S;Arm;Res;0
Román Gamarra;M;ARG;N;24;E;N;Pas;Vis;0
Cristian Núñez;P;PRY;N;25;D;N;Fin;Agi;0
Gastón Viera;P;ARG;N;23;D;N;Arm;Cri;0
Iñaki Larthirigoyen;P;ARG;N;22;D;N;Cru;Agi;0
Javier Iritier;P;ARG;N;31;D;N;Pas;Cri;0
Jerónimo Porto;P;ARG;N;24;D;S;Dri;Agi;0
Joel González;P;ARG;N;23;D;N;Cru;Vel;0
Lucas Baldunciel;P;ARG;N;33;D;N;Arm;Cri;0
Matías Salerno;P;ARG;N;22;E;N;Dri;Res;0
Facundo Báez;A;ARG;N;22;D;N;Fin;Fri;0
Juan Cruz Zurbriggen;A;ARG;N;25;D;N;Pas;Res;0
Martín Batallini;A;ARG;N;34;D;S;Chu;Vel;0
Nicolás Molina;A;ARG;N;27;D;N;Chu;Res;0
