Temperley;ARG;65;Alfredo Martín Beranger;Nicolás Domingo;ARG;FFFFFF;4ABBFF;26000
Ezequiel Mastrolía;G;ARG;N;35;D;S;Ref;Con;0
Jerónimo Pourtau;G;ARG;N;26;D;N;Sgo;For;0
Valentín Díaz;G;ARG;N;21;D;N;Rbo;Imp;0
Lucas Angelini;L;ARG;N;31;E;S;Pos;Agi;0
Pedro Souto;L;ARG;N;26;E;N;Cru;For;0
Rodrigo Mazur;L;ARG;N;34;E;N;Des;Ace;0
Valentino Werro;L;ARG;N;24;D;N;Pas;For;0
Iago Iriarte;Z;ARG;N;26;D;N;Cab;Imp;0
Oswaldo Pacheco;Z;COL;N;25;D;S;Des;Res;0
Valentín Aguiñagalde;Z;ARG;N;21;E;S;Mar;Con;0
Adrián Arregui;V;ARG;N;33;D;S;Mar;Res;0
Franco Díaz;M;ARG;N;25;D;S;Arm;Vis;0
Gerónimo Tomasetti;M;ARG;N;26;D;S;Pas;Agi;0
Lorenzo Monti;M;ARG;N;28;D;S;Fin;Cri;0
Lucas Richarte;M;ARG;N;21;D;N;Fin;Cri;0
Luciano Nieto;M;ARG;N;35;E;N;Dri;Fri;0
Alejandro Melo;P;ARG;N;30;D;N;Cru;Res;0
Fernando Brandán;P;ARG;N;36;D;N;Cru;Ace;0
Franco Benítez;P;ARG;N;24;D;S;Pas;Res;0
Julián Carrasco;P;ARG;N;24;D;N;Arm;Res;0
Facundo Krüger;A;ARG;N;26;D;S;Cab;Vel;0
Francisco Silva;A;ARG;N;21;D;N;Fin;Res;0
Gabriel Hauche;A;ARG;N;39;D;N;Fin;For;0
Marcos Echeverría;A;ARG;N;23;E;S;Pas;Imp;0
