Tigre;ARG;81;Coliseo de Victoria;Diego Dabove;ARG;14468B;7A001F;26000
Felipe Zenobio;G;ARG;N;26;D;S;Sgo;Imp;0
Lautaro Morales;G;ARG;N;26;D;N;Ref;Fri;0
Federico Álvarez;L;ARG;N;32;E;S;Cru;For;0
Guillermo Soto;L;CHL;N;32;D;N;Cru;Res;0
Luciano Minniti;L;ARG;N;20;D;N;Pos;Agi;0
Martín Garay;L;ARG;N;27;D;S;Pas;For;0
Nahuel Banegas;L;ARG;N;29;E;N;Des;Agi;0
Valentín Moreno;L;ARG;N;23;D;S;Pos;Agi;0
Ángelo Marchese;L;ARG;N;22;E;N;Cru;Ace;0
Alan Barrionuevo;Z;ARG;N;29;D;S;Mar;Imp;0
Gonzalo Requena;Z;ARG;N;23;D;N;Mar;Res;0
Joaquín Laso;Z;ARG;N;36;D;S;Ant;Res;0
Juan Villalba;Z;ARG;N;20;E;N;Des;Vel;0
Ramón Arias;Z;URY;N;34;D;N;Cab;Con;0
Tomás Fernández;Z;ARG;N;22;D;N;Pos;Con;0
Bruno Leyes;V;ARG;N;24;E;S;Pas;Vis;0
Jalil Elías;V;SYR;N;30;D;S;Pas;Agi;0
Gonzalo Martínez;M;ARG;N;33;E;N;Pas;Res;0
Jabes Saralegui;M;ARG;N;23;E;S;Dri;Cri;0
Nicolás Dubersarsky;M;ARG;N;21;D;N;Pas;Agi;0
Santiago González;M;ARG;N;23;D;N;Pas;Res;0
Simón Rivero;M;ARG;N;23;E;N;Pas;Agi;0
Tiago Serrago;M;ARG;N;22;D;N;Arm;Cri;0
Ian Subiabre;P;ARG;N;19;E;N;Dri;Vel;0
Manuel Fernández;P;ARG;N;21;D;N;Dri;Cri;0
Santiago López;P;ARG;N;20;D;S;Arm;Res;0
Sebastián Medina;P;ARG;N;26;E;N;Cru;Agi;0
Alfio Oviedo;A;PRY;N;30;D;N;Pas;Vel;0
Ignacio Russo;A;ARG;N;25;D;S;Chu;Fri;0
Mauro Méndez;A;URY;N;27;D;N;Dri;Vel;0
