Água Santa;BRA;48;Arena Inamar;Ricardo Lima;PRT;0F4C81;FFFFFF;8000
Lucas Bento;G;BRA;N;25;D;N;Col;For;0
Matheus Novaes;G;BRA;N;22;D;N;Rbo;For;0
Vanderlei;G;BRA;N;42;D;S;Ref;Fle;0
Auro;L;BRA;N;30;D;N;Cru;Agi;0
Jonathan Lisboa;L;BRA;N;32;E;N;Des;For;0
Rafael Verrone;L;BRA;N;28;E;S;Pas;For;0
Thiaguinho;L;BRA;N;23;E;S;Mar;Agi;0
Victor Guilherme;L;BRA;N;32;D;N;Cru;Vel;0
Willian Bahia;L;BRA;N;24;E;S;Pos;Ace;0
Gabriel Vidal;Z;BRA;N;29;D;N;Pos;For;0
Hiago;Z;BRA;N;26;D;S;Mar;Imp;0
Michel Bennech;Z;BRA;N;27;D;N;Cab;Con;0
Cesinha;V;BRA;N;30;D;S;Ant;Agi;0
Diego Anjos;V;BRA;N;22;D;N;Pas;Con;0
Nenê Bonilha;V;BRA;N;34;D;N;Pas;Vis;0
Villian Guilherme;V;BRA;N;22;D;S;Mar;For;0
Felipinho;M;BRA;N;28;D;N;Arm;Res;0
Johann Perea;M;ECU;N;27;D;N;Dri;Agi;0
Mansur;M;BRA;N;28;E;N;Pas;Vis;0
Levi;P;BRA;N;29;D;S;Dri;Agi;0
Richard Birkheun;P;BRA;N;26;D;S;Fin;Vel;0
Vitinho;P;BRA;N;26;D;S;Pas;Cri;0
Daniel Bahia;A;BRA;N;28;E;S;Fin;Imp;0
Vitão;A;BRA;N;26;D;N;Cab;For;0
