Águia de Marabá;BRA;50;Zinho de Oliveira;Luiz Carlos Winck;BRA;0050A7;FFFFFF;5000
Marcos Daniel;G;BRA;N;21;D;N;Ref;Fle;0
Xandão;G;BRA;N;24;D;S;Ref;Con;0
Bruno Limão;L;BRA;N;36;D;S;Des;Res;0
Parazinho;L;BRA;N;21;D;N;Pas;Agi;0
Dedé;Z;BRA;N;31;D;S;Cab;For;0
Diogo Henrique;Z;BRA;N;36;D;N;Pos;Con;0
Victtor Chaves;Z;BRA;N;23;E;N;Ant;For;0
Wendel;Z;BRA;N;34;E;S;Des;For;0
Kaique;V;BRA;N;33;D;S;Mar;For;0
Willian Daltro;V;BRA;N;33;D;S;Pas;Con;0
Carlos Maia;M;BRA;N;25;A;S;Pas;Agi;0
Diogo Carlos;M;BRA;N;32;E;S;Arm;Vis;0
Kakaroto;M;BRA;N;20;D;N;Pas;Agi;0
Wendell;M;BRA;N;30;D;S;Pas;Res;0
Daniel Cruz;P;BRA;N;36;D;N;Fin;Agi;0
Heltinho;P;BRA;N;21;E;N;Pas;Agi;0
PH;P;BRA;N;32;D;S;Cru;Agi;0
Raylson;P;BRA;N;29;D;N;Arm;Cri;0
Weslley Santos;P;BRA;N;24;E;S;Pas;Ace;0
Rômulo;A;BRA;N;34;D;N;Fin;For;0
