América-MG;BRA;67;Independência;Douglas Leite;BRA;076736;FFFFFF;23000
Gustavo;G;BRA;N;33;D;S;Col;Con;0
William;G;BRA;N;28;D;N;Ref;Fle;0
Alex Silva;L;BRA;N;32;D;N;Mar;For;0
Dalbert;L;BRA;N;32;E;S;Cru;Res;0
Heitor;L;BRA;N;22;D;N;Pos;For;0
Tobias Ostchega;L;ARG;N;27;E;N;Mar;Vel;0
Emerson;Z;BRA;N;31;D;S;Pos;Con;0
Luca Sosa;Z;ARG;N;32;E;N;Ant;Con;0
Manoel;Z;BRA;N;36;D;N;Des;For;0
Rafa Barcelos;Z;BRA;N;22;D;S;Ant;Vel;0
Ricardo Silva;Z;BRA;N;34;D;N;Cab;Imp;0
Thallyson;Z;BRA;N;20;E;N;Pos;Vel;0
Wesley;Z;BRA;N;26;D;N;Des;Vel;0
Alê;V;BRA;N;36;D;N;Pas;Con;0
Gustavo Barreto;V;BRA;N;30;D;N;Des;For;0
Jorge Jiménez;V;PRY;N;33;D;N;Des;For;0
Val Soares;V;BRA;N;29;D;N;Pas;Vis;0
Eduardo Person;M;BRA;N;29;D;S;Pas;Vis;0
Felipe Amaral;M;BRA;N;23;D;S;Pas;Res;0
Fernando Elizari;M;ARG;N;35;D;N;Arm;Vis;0
Gabriel Domingos;M;BRA;N;25;D;N;Pas;Agi;0
Otávio Gonçalves;M;BRA;N;20;D;N;Pas;Agi;0
Yago Souza;M;BRA;N;20;D;S;Arm;Agi;0
Gabriel Barros;P;BRA;N;24;E;S;Dri;Ace;0
Guilherme Parede;P;BRA;N;30;D;N;Fin;Res;0
Matías Segovia;P;PRY;N;23;E;S;Dri;Agi;0
Paulo Victor;P;BRA;N;25;E;S;Dri;Vel;0
Rodrigo Piñeiro;P;URY;N;27;D;N;Dri;Vel;0
Gonzalo Mastriani;A;URY;N;33;E;S;Fin;Imp;0
Willian Bigode;A;BRA;N;39;D;N;Pas;For;0
