Anápolis;BRA;58;Jonas Duarte;Roberto Fernandes;BRA;000000;ED1A1F;12500
Ravel Pelegrini;G;BRA;N;30;D;S;Ref;Fri;0
Victor Hugo;G;BRA;N;25;D;N;Ref;Fle;0
Julio César;L;BRA;N;21;E;N;Pos;Agi;0
Kaik Viçoza;L;BRA;N;22;D;N;Pas;Ace;0
Leonan;L;BRA;N;30;E;S;Cru;Agi;0
Rubinho;L;BRA;N;23;D;S;Pas;Vel;0
Darlisson;Z;BRA;N;22;E;N;Des;For;0
Helder;Z;BRA;N;25;E;N;Pos;Imp;0
Igor Souza;Z;BRA;N;29;D;S;Cab;Imp;0
Kauan;Z;BRA;N;22;D;N;Des;Vel;0
Rafael Costa;Z;BRA;N;25;D;S;Pos;Vel;0
Gharib;V;BRA;N;27;E;N;Pas;Vis;0
Giva Santos;V;BRA;N;27;D;N;Mar;For;0
João Borim;V;BRA;N;24;D;S;Des;Con;0
Kauan Guilherme;V;BRA;N;21;E;N;Pas;Agi;0
Lucas Kallyel;V;BRA;N;22;D;N;Des;Agi;0
Lucas Mila;V;BRA;N;23;D;S;Pas;Agi;0
Samuel;V;BRA;N;27;D;N;Mar;Con;0
Vinícius Lucas;V;BRA;N;27;D;N;Pas;Agi;0
Cássio Gabriel;M;BRA;N;33;D;N;Arm;Vis;0
Juninho;M;BRA;N;27;D;S;Arm;Cri;0
Luiz Felipe;M;BRA;N;21;D;N;Pas;Agi;0
Vitor Fonseca;M;BRA;N;21;D;N;Pas;Vis;0
Douglas Souza;P;BRA;N;24;E;N;Dri;Ace;0
Fernandinho;P;BRA;N;23;D;N;Dri;Agi;0
Gustavo Henrique;P;BRA;N;27;D;S;Fin;Vel;0
Matheus Lagoa;P;BRA;N;30;D;S;Fin;Cri;0
Rodriguinho;P;BRA;N;21;E;N;Dri;Ace;0
Fernando Viana;A;BRA;N;34;D;N;Fin;Fri;0
Gonzalo Fornari;A;BRA;N;26;D;S;Cab;Imp;0
