ASA;BRA;52;Fumeirão;Itamar Schulle;BRA;000000;FFFFFF;15000
Cris;G;BRA;N;35;D;N;Col;Con;0
Rafael Mariano;G;BRA;N;35;D;S;Ref;Con;0
Arthurzinho;L;BRA;N;26;E;S;Pas;Vel;0
Léo Príncipe;L;BRA;N;29;D;N;Pos;Ace;0
Paulinho;L;BRA;N;34;D;S;Cru;For;0
Wesley Costa;L;BRA;N;22;E;N;Mar;Ace;0
Alysson Dutra;Z;BRA;N;26;E;N;Mar;For;0
Cristian Lucca;Z;BRA;N;35;D;S;Pos;Imp;0
Danilo Santos;Z;BRA;N;25;D;S;Des;For;0
Fábio Aguiar;Z;BRA;N;37;D;S;Ant;Con;0
Jackson;Z;BRA;N;24;E;N;Des;Vel;0
Roni Lobo;Z;BRA;N;27;D;N;Cab;For;0
Allef;V;BRA;N;32;D;S;Pas;Vis;0
Ferreira;V;BRA;N;30;D;N;Mar;For;0
Léo Bahia;V;BRA;N;22;D;N;Des;Con;0
Pedro Colina;V;BRA;N;28;D;N;Des;Res;0
Vitor Lima;V;BRA;N;24;D;N;Ant;Agi;0
Higor Leite;M;BRA;N;33;D;S;Arm;Vis;0
Jailson;M;BRA;N;33;D;S;Fin;Fri;0
Motta;M;BRA;N;24;D;N;Pas;Vis;0
Richard Franco;M;PRY;N;34;D;N;Pas;Res;0
Sammuel;M;BRA;N;24;E;S;Dri;Agi;0
Yohan Miranda;M;BRA;N;26;D;N;Pas;Agi;0
Gustavo Ramos;P;BRA;N;30;D;N;Dri;Vel;0
Marquinhos Brazion;P;BRA;N;26;D;N;Fin;Ace;0
Wandson;P;BRA;N;28;E;S;Cru;Ace;0
Iarley;A;BRA;N;23;D;N;Dri;Vel;0
Jonata;A;BRA;N;28;D;N;Cab;Imp;0
Michel Douglas;A;BRA;N;34;D;N;Fin;Fri;0
Vinícius Alves;A;BRA;N;26;D;N;Pas;Res;0
