Athletic Club;BRA;71;Joaquim Portugal;Alex;BRA;FFFFFF;000000;4500
Glauco;G;BRA;N;31;D;N;Col;Imp;0
Luan Polli;G;BRA;N;33;D;S;Ref;Con;0
Diogo Batista;L;BRA;N;22;D;S;Cru;Vel;0
Douglas Pelé;L;BRA;N;26;D;N;Cru;Ace;0
Enzo;L;BRA;N;23;E;N;Des;Vel;0
Marcelo Henrique;L;BRA;N;21;E;N;Pos;Agi;0
Zeca;L;BRA;N;32;A;S;Pas;Agi;0
Felipe Vieira;Z;BRA;N;21;E;N;Des;Vel;0
Jhan Torres;Z;COL;N;25;E;N;Des;For;0
Jhonathan;Z;BRA;N;27;D;S;Pos;For;0
Lucas Belezi;Z;BRA;N;23;D;S;Ant;Vel;0
Sidimar;Z;BRA;N;34;D;N;Pos;For;0
Fabrício Isidoro;V;BRA;N;34;D;N;Des;Res;0
Felipe Negrucci;V;BRA;N;22;D;N;Mar;Agi;0
Ian Luccas;V;BRA;N;23;D;S;Pas;Vis;0
João Miguel;V;BRA;N;22;D;S;Des;For;0
Alexandre Pena;M;BRA;N;21;D;N;Pas;Agi;0
Gian Cabezas;M;COL;N;23;E;S;Dri;Agi;0
Gustavinho;M;BRA;N;24;E;N;Arm;Cri;0
Jota;M;BRA;N;22;D;N;Pas;Res;0
Kauan Lindes;M;BRA;N;22;D;N;Dri;Agi;0
Kauan Rodrigues;M;BRA;N;21;D;S;Arm;Cri;0
Pedro Oliveira;M;BRA;N;28;D;N;Arm;Vis;0
Bruninho;P;BRA;N;23;E;N;Cru;Agi;0
Dixon Vera;P;ECU;N;23;D;S;Dri;Vel;0
Max;P;BRA;N;24;D;N;Pas;Agi;0
Yarlen;P;BRA;N;20;A;N;Dri;Ace;0
Gabriel Moysés;A;BRA;N;23;E;N;Fin;Vel;0
Ronaldo Tavares;A;PRT;N;28;D;S;Cab;For;0
Samuel Otusanya;A;NGA;N;22;E;N;Dri;Vel;0
