Atlético Goianiense;BRA;71;Antonio Accioly;Roger Silva;BRA;CF2219;000000;12500
Paulo Henrique;G;BRA;N;32;D;N;Ref;Imp;0
Paulo Vítor;G;BRA;N;37;D;S;Ref;Con;0
Ewerthon;L;BRA;N;25;D;S;Cru;Vel;0
Felipe Guimarães;L;BRA;N;22;D;N;Pas;Agi;0
Guilherme Lopes;L;BRA;N;24;E;S;Pas;Agi;0
Gustavo Daniel;L;BRA;N;21;E;N;Mar;Ace;0
Yuri;L;BRA;N;30;E;N;Cru;Res;0
Adriano Martins;Z;BRA;N;29;D;S;Des;For;0
Junior Barreto;Z;PRY;N;28;D;S;Pos;Con;0
Marcão;Z;BRA;N;25;D;N;Mar;Imp;0
Natã;Z;BRA;N;25;D;N;Ant;Con;0
Tito;Z;BRA;N;26;D;S;Ant;Vel;0
Daniel Peixoto;V;BRA;N;29;D;N;Mar;For;0
Geovane;V;BRA;N;37;D;N;Pas;Con;0
Henrique Freitas;V;BRA;N;27;D;N;Pas;Con;0
Leandro Vilela;V;BRA;N;31;D;N;Des;For;0
Netinho;V;BRA;N;28;D;N;Chu;Vis;0
Assis;M;BRA;N;24;E;N;Pas;Agi;0
Cristiano;M;BRA;N;26;D;S;Dri;Agi;0
Guilherme;M;BRA;N;35;E;S;Arm;Vis;0
Igor Henrique;M;BRA;N;34;D;S;Fin;Res;0
Matheusinho;M;BRA;N;28;D;N;Dri;Agi;0
Bruno José;P;BRA;N;28;D;N;Dri;Ace;0
Gustavo Maia;P;BRA;N;25;D;N;Dri;Ace;0
Lima;P;PRT;N;21;E;N;Pas;Ace;0
Léo Tocantins;P;BRA;N;27;E;N;Cru;Vel;0
Marrony;P;BRA;N;27;E;S;Fin;Vel;0
Geovany Soares;A;BRA;N;26;D;S;Pas;For;0
Gustavo Coutinho;A;BRA;N;27;D;N;Fin;For;0
João Pedro;A;GNB;N;29;D;N;Cab;Vel;0
