Bahia;BRA;84;Fonte Nova;Rogério Ceni;BRA;FFFFFF;006CB6;50000
Guido Herrera;G;ARG;N;34;E;N;Ref;Con;0
Léo Vieira;G;BRA;N;35;D;N;Sgo;Imp;0
Ronaldo;G;BRA;N;29;D;S;Ref;Fle;0
Luciano Juba;L;BRA;N;26;E;S;Cru;Vel;4
Román Gómez;L;ARG;N;22;D;N;Pos;Vel;0
Zé Guilherme;L;BRA;N;21;E;N;Pos;Vel;0
David Duarte;Z;BRA;N;31;D;S;Ant;Imp;0
Fredi Gomes;Z;BRA;N;20;E;N;Ant;Con;0
Kanu;Z;BRA;N;29;D;N;Mar;For;0
Luiz Gustavo;Z;BRA;N;20;E;N;Mar;For;0
Marco Moreno;Z;ESP;N;25;D;N;Pos;Con;0
Marcos Victor;Z;BRA;N;24;D;N;Ant;Con;0
Ramos Mingo;Z;ARG;N;24;E;S;Mar;Con;0
Caio Alexandre;V;BRA;N;27;D;N;Pas;Con;0
Erick;V;BRA;N;28;D;S;Ant;For;0
Nicolás Acevedo;V;URY;N;27;D;S;Ant;For;0
Everton Ribeiro;M;BRA;S;37;E;S;Pas;Vis;5
Jean Lucas;M;BRA;N;28;D;S;Dri;Cri;0
Rodrigo Nestor;M;BRA;N;26;E;N;Arm;Cri;0
Roger Gabriel;M;BRA;N;19;A;N;Arm;Vis;0
Ademir;P;BRA;N;31;E;N;Cru;Cri;0
Cristian Olivera;P;URY;N;24;D;S;Dri;Res;0
Erick Pulga;P;BRA;N;25;D;S;Dri;Cri;5
Mateo Sanabria;P;ARG;N;22;D;N;Fin;Cri;0
Michel Araújo;P;URY;N;29;E;N;Dri;Res;0
Ruan Pablo;P;BRA;N;18;A;N;Dri;Agi;0
Alejo Veliz;A;ARG;N;22;D;N;Fin;Imp;0
Dell;A;BRA;N;18;D;N;Fin;Imp;0
Everaldo;A;BRA;N;35;D;N;Cab;Imp;0
Willian José;A;BRA;N;34;D;S;Fin;Fri;0
