Barra;BRA;59;Arena Barra FC;Evaristo Piza;BRA;044BA4;FFFFFF;5500
Fabian Volpi;G;BRA;N;29;D;S;Ref;Fle;0
Augusto Potiguar;L;BRA;N;30;A;N;Cru;Res;0
Da Rocha;L;BRA;N;21;E;S;Des;Agi;0
Guilherme Lazaroni;L;BRA;N;33;E;S;Pos;For;0
João Vinícius;L;BRA;N;21;E;N;Pas;Agi;0
Kayque;L;BRA;N;22;D;N;Des;Agi;0
Léo Duarte;L;BRA;N;27;D;N;Des;Vel;0
Jean Pierre;Z;BRA;N;32;D;S;Cab;For;0
Vavá;Z;BRA;N;32;E;N;Des;Con;0
Vitão;Z;BRA;N;31;D;N;Pos;For;0
Éverton Alemão;Z;BRA;N;33;D;S;Mar;Con;0
Matheus Barbosa;V;BRA;N;31;A;N;Chu;For;0
Natan Costa;V;BRA;N;31;D;N;Des;For;0
Pablo Gabriel;V;BRA;N;29;D;N;Pas;Con;0
Pedro Peçanha;V;BRA;N;24;D;N;Mar;Agi;0
Tetê;V;BRA;N;35;E;S;Ant;Con;0
Barba;M;BRA;N;27;D;N;Pas;Vis;0
Elvinho;M;BRA;N;34;D;S;Dri;Agi;0
Marquinho;M;BRA;N;24;E;S;Dri;Agi;0
Rick;M;BRA;N;21;E;N;Pas;Agi;0
Warley;M;BRA;N;26;D;N;Pas;Vis;0
Betinho;P;BRA;N;23;D;N;Dri;Ace;0
Cléo Silva;P;BRA;N;36;D;S;Cru;Ace;0
Gabriel Silva;P;BRA;N;27;D;S;Dri;Agi;0
Marcelinho;P;BRA;N;27;E;N;Dri;Vel;0
Saymon;P;BRA;N;22;E;N;Dri;Agi;0
Lucas Vargas;A;BRA;N;21;D;N;Fin;Vel;0
Nicolas;A;BRA;N;25;D;N;Fin;For;0
Renan Bernabé;A;BRA;N;22;D;S;Fin;For;0
Vinicius Popó;A;BRA;N;25;D;N;Chu;For;0
