Blumenau;BRA;47;Monumental do SESI;Corrêa;BRA;008040;6B1D2F;3000
Glédson;G;BRA;N;43;D;S;Col;Con;0
João Augusto;G;BRA;N;25;D;N;Ref;Fle;0
Pedro Henz;G;BRA;N;23;D;N;Sgo;Con;0
João Pedro;L;BRA;N;22;E;S;Mar;Vel;0
João Vitor;L;BRA;N;24;D;S;Pas;Agi;0
Marquinhos Pedroso;L;BRA;N;32;E;S;Cru;For;0
Cauê;Z;BRA;N;19;D;N;Ant;Vel;0
Gustavo Brandão;Z;BRA;N;25;A;N;Mar;Imp;0
Lucas Silva;Z;BRA;N;20;D;N;Pos;Vel;0
Marcão;Z;BRA;N;37;D;S;Cab;For;0
Wesley Barbosa;Z;BRA;N;31;E;N;Des;Con;0
André Castro;V;BRA;N;34;D;N;Mar;Con;0
Anthonio Camargo;V;BRA;N;22;D;N;Ant;For;0
Emerson Silva;V;BRA;N;24;D;S;Des;Agi;0
Henrique Zen;V;BRA;N;22;D;N;Pas;Vis;0
Jonathan Cabeça;V;BRA;N;29;D;N;Des;Con;0
Kevyn;V;BRA;N;24;D;N;Mar;For;0
Pedrinho;V;BRA;N;23;D;N;Ant;Agi;0
Foguinho;M;BRA;N;26;E;N;Dri;Agi;0
Matheus Joaquim;M;BRA;N;23;D;N;Pas;Cri;0
Álvaro;M;BRA;N;33;E;S;Arm;Vis;0
Brown;P;BRA;N;25;D;S;Dri;Vel;0
Josué;P;BRA;N;27;D;S;Cru;Ace;0
João Vitor;P;BRA;N;26;D;N;Pas;Cri;0
Caio Mota;A;BRA;N;25;D;N;Fin;For;0
Gustavo;A;BRA;N;23;D;N;Pas;Vel;0
Juliano;A;BRA;N;18;D;N;Chu;For;0
Nathan Wilhian;A;BRA;N;21;D;N;Fin;Imp;0
Vinícius Jaú;A;BRA;N;28;E;S;Dri;Vel;0
Wellisson;A;BRA;N;30;D;S;Cab;Imp;0
