Botafogo-PB;BRA;60;Almeidão;Marcelo Fernandes;BRA;000000;FFFFFF;19000
Luiz Daniel;G;BRA;N;33;D;S;Ref;Fle;0
Max Walef;G;BRA;N;32;D;N;Col;Con;0
Bull;L;BRA;N;25;E;S;Cru;Vel;0
Diego Tavares;L;BRA;N;35;D;N;Cru;Ace;0
Diogo Mateus;L;BRA;N;33;D;N;Pas;Agi;0
Erick;L;BRA;N;22;D;S;Mar;Agi;0
Lucas Sena;L;BRA;N;25;D;N;Pos;Agi;0
PK;L;BRA;N;32;E;N;Pas;For;0
Igor Morais;Z;BRA;N;28;D;S;Des;For;0
Júlio Vaz;Z;BRA;N;28;D;N;Ant;Con;0
Octávio;Z;BRA;N;24;D;N;Des;For;0
Saimon;Z;BRA;N;35;D;N;Mar;Con;0
Yan Souto;Z;BRA;N;24;D;S;Cab;Imp;0
Dudu Nardini;V;BRA;N;28;E;S;Pas;Vis;0
Thallyson;V;BRA;N;30;D;N;Chu;Res;0
Ed Carlos;M;BRA;N;25;E;N;Arm;Vis;0
Gabriel Tota;M;BRA;N;24;D;N;Arm;Vis;0
Giovanni;M;BRA;N;32;A;N;Fin;Fri;0
Gustavo;M;BRA;N;24;E;N;Pas;Agi;0
Igor Maduro;M;BRA;N;25;D;S;Pas;Res;0
Jhonata Varela;M;BRA;N;26;D;S;Pas;Res;0
Nenê;M;BRA;N;44;E;S;Arm;Fri;0
Romário;M;BRA;N;24;D;N;Dri;Cri;0
Dudu Hatamoto;P;BRA;N;22;D;N;Dri;Ace;0
Felipe Azevedo;P;BRA;N;39;E;N;Pas;Cri;0
Kayon;P;BRA;N;22;D;N;Fin;Agi;0
Anderson Chaves;A;BRA;N;25;D;N;Pas;For;0
Henrique Dourado;A;BRA;N;36;E;S;Fin;For;0
Lawan;A;BRA;N;21;D;N;Dri;Vel;0
Rodolfo;A;BRA;N;34;D;S;Fin;Vel;0
