Botafogo-SP;BRA;70;Santa Cruz;Claudio Tencati;BRA;FFFFFF;E52D2D;25000
Jordan;G;BRA;N;28;D;N;Ref;Fle;0
Victor Souza;G;BRA;N;33;E;S;Col;For;0
Ericson;L;BRA;N;27;D;S;Mar;For;0
Felipe Vieira;L;BRA;N;27;E;N;Des;For;0
Gabriel Inocêncio;L;BRA;N;31;D;S;Cru;Res;0
Jonathan;L;BRA;N;33;D;N;Pos;Vel;0
Patrick Brey;L;BRA;N;29;E;S;Cru;Vel;0
Pedro Souza;L;BRA;N;19;D;N;Mar;Ace;0
Carlão;Z;BRA;N;25;D;N;Mar;For;0
Guilherme Mariano;Z;BRA;N;26;D;N;Pos;Con;0
Vilar;Z;BRA;N;26;D;S;Cab;Imp;0
Wallace;Z;BRA;N;31;D;N;Pos;Vel;0
Leandro Maciel;V;ARG;N;30;D;S;Pas;Vis;0
Marco Antônio;V;BRA;N;26;D;N;Ant;Agi;0
Matheus Sales;V;BRA;N;31;D;S;Des;Res;0
Thiaguinho;V;BRA;N;28;D;N;Des;Agi;0
Everton Morelli;M;BRA;N;28;D;S;Pas;Res;0
Rafael Gava;M;BRA;N;33;D;S;Arm;Vis;0
Yuri Felipe;M;BRA;N;20;D;N;Pas;Agi;0
Arthur Caíke;P;BRA;N;34;D;N;Fin;Res;0
Jadson;P;BRA;N;20;D;N;Cru;Res;0
Jefferson Nem;P;BRA;N;30;D;N;Dri;Ace;0
Kelvin;P;BRA;N;28;D;S;Dri;Agi;0
Márcio Maranhão;P;BRA;N;27;D;N;Cru;Ace;0
Wesley Santos;P;BRA;N;25;A;N;Pas;Vel;0
Zé Hugo;P;BRA;N;26;D;N;Dri;Vel;0
Guilherme Queiróz;A;BRA;N;36;D;N;Fin;For;0
Hygor;A;BRA;N;33;D;S;Fin;Vel;0
Luizão;A;BRA;N;23;E;N;Cab;Imp;0
Thalles;A;BRA;N;21;D;N;Pas;For;0
