Brusque;BRA;62;Augusto Bauer;Higo Magalhães;BRA;FCE100;008E3A;5000
José Vinicius;G;BRA;N;20;D;N;Ref;Fle;0
Matheus Nogueira;G;BRA;N;39;D;S;Col;Con;0
Davi Gabriel;L;BRA;N;28;E;N;Des;Res;0
Italo Lucas;L;BRA;N;20;D;N;Cru;Agi;0
Jeferson;L;BRA;N;30;D;N;Pas;Res;0
Léo Ataíde;L;BRA;N;22;D;N;Des;Vel;0
Raimar;L;BRA;N;24;E;S;Cru;Ace;0
Alisson Cassiano;Z;BRA;N;32;D;S;Cab;For;0
Cipriano;Z;BRA;N;23;E;N;Des;For;0
Rafael Milhorim;Z;BRA;N;27;E;S;Des;Con;0
Ryan Santos;Z;BRA;N;21;D;S;Ant;Vel;0
Alex Paulino;V;BRA;N;24;D;N;Mar;Con;0
Bernardo;V;BRA;N;24;D;S;Pas;Res;0
Gazão;V;BRA;N;24;D;S;Des;For;0
Pedro Medeiros;V;BRA;N;24;D;N;Ant;Agi;0
Ariel;M;BRA;N;28;D;N;Chu;Res;0
Jonatan Lucca;M;BRA;N;32;A;S;Pas;Vis;0
João Prado;M;BRA;N;23;D;S;Arm;Agi;0
Leonardo;M;BRA;N;21;D;N;Pas;Agi;0
Rafa Fonseca;M;BRA;N;21;D;N;Dri;Cri;0
Adriano Filho;P;BRA;N;22;D;N;Cru;Vel;0
Guga;P;BRA;N;22;A;N;Fin;Agi;0
João Pedro;P;BRA;N;26;E;N;Cru;Vel;0
Petterson;P;BRA;N;22;D;N;Dri;Cri;0
Renan Henrique;P;BRA;N;29;D;N;Arm;Agi;0
Udeh Clinton;P;NGA;N;24;D;S;Dri;Ace;0
Héber;A;BRA;N;34;D;S;Fin;Fri;0
Macário;A;BRA;N;25;D;N;Cab;Imp;0
Marlyson;A;BRA;N;28;D;N;Fin;Res;0
Álvaro;A;BRA;N;28;D;N;Pas;For;0
