Capital-DF;BRA;50;JK;Edson Porto;BRA;019CD4;FAFAFA;6000
Jefferson;G;BRA;N;28;D;N;Col;Imp;0
Jori;G;BRA;N;30;D;S;Ref;Con;0
Genilson;L;BRA;N;29;D;N;Mar;Res;0
Nicolás Lugano;L;URY;N;26;D;N;Des;For;0
Renan Luis;L;BRA;N;36;E;S;Cru;For;0
Ítalo;L;BRA;N;25;E;N;Pos;Vel;0
Kauan Reis;Z;BRA;N;19;D;N;Mar;Vel;0
Lucas Mufalo;Z;BRA;N;28;E;N;Cab;For;0
Lucas Oliveira;Z;BRA;N;32;D;N;Des;Imp;0
Richardson;Z;BRA;N;34;D;S;Ant;Res;0
Éder Lima;Z;BRA;N;40;E;S;Pos;Con;0
Esdras;V;BRA;N;36;D;S;Ant;Con;0
Felipe Guedes;V;BRA;N;35;D;S;Pas;For;0
John Everson;V;BRA;N;26;D;N;Des;Agi;0
Zé Mateus;V;BRA;N;31;D;N;Mar;For;0
Deysinho;M;BRA;N;34;D;S;Arm;Cri;0
Jeremias;M;BRA;N;29;D;N;Chu;Agi;0
Jerry;M;BRA;N;32;D;N;Dri;Agi;0
Matheuzinho;M;BRA;N;33;E;S;Pas;Vis;0
Yann Rolim;M;BRA;N;31;D;N;Pas;Vis;0
Carlos Torres;P;COL;N;23;E;N;Dri;Agi;0
Erick;P;BRA;N;26;D;N;Pas;Vel;0
Lessinho;P;BRA;N;30;D;N;Dri;Vel;0
Ruan;P;BRA;N;33;D;S;Dri;Ace;0
Tobinha;P;BRA;N;32;D;N;Fin;Vel;0
Élton Martins;P;BRA;N;37;E;S;Cru;Res;0
Cebolinha;A;BRA;N;19;D;N;Dri;Vel;0
Ingro;A;BRA;N;33;E;S;Fin;For;0
William Barbio;A;BRA;N;33;D;N;Dri;Vel;0
