Caxias;BRA;61;Centenário;Marcelo Cabo;BRA;8D0050;FFFFFF;22000
Léo Lang;G;BRA;N;27;D;S;Ref;Fle;0
Marcelo Dal Soler;G;BRA;N;25;D;N;Col;Imp;0
Felipe Albuquerque;L;BRA;N;26;D;N;Des;Vel;0
Roberto;L;BRA;N;35;E;S;Cru;For;0
Ronei;L;BRA;N;28;D;S;Pas;Res;0
Vitinho;L;BRA;N;24;E;N;Cru;Ace;0
Vitor Gabriel;L;BRA;N;20;D;N;Pos;Agi;0
André;Z;BRA;N;27;D;N;Des;For;0
Ianson;Z;BRA;N;31;D;S;Cab;For;0
Joílson;Z;BRA;N;35;D;S;Pos;Con;0
Mancha;Z;BRA;N;23;D;N;Ant;Vel;0
Maurício;Z;BRA;N;35;E;S;Des;For;0
Windson;Z;BRA;N;31;D;N;Pos;Con;0
Breno Santos;V;BRA;N;28;D;S;Des;For;0
Grígor;V;BRA;N;25;D;N;Mar;Con;0
Luis Fernando;V;BRA;N;21;D;N;Mar;Agi;0
Matheus Nunes;V;BRA;N;23;D;N;Pas;Res;0
Marcelo Freitas;M;BRA;N;32;A;S;Pas;Vis;0
Matheus Anjos;M;BRA;N;27;D;N;Arm;Cri;0
Ravanelli;M;BRA;N;28;D;N;Chu;Cri;0
Calyson;P;BRA;N;33;D;S;Cru;Res;0
Dentinho;P;BRA;N;29;E;N;Dri;Ace;0
Gaspar;P;BRA;N;23;D;N;Fin;Agi;0
João Lucas;P;BRA;N;25;E;N;Cru;Vel;0
Luis Miguel;P;BRA;N;21;D;N;Dri;Ace;0
Vitor Feijão;P;BRA;N;29;D;N;Dri;Agi;0
Felipe Rangel;A;BRA;N;23;E;N;Fin;Vel;0
Jhonatan Ribeiro;A;BRA;N;33;D;S;Fin;Res;0
Kaio Chrystian;A;BRA;N;19;D;N;Pas;For;0
Salatiel;A;BRA;N;33;D;S;Cab;For;0
