Chapecoense;BRA;78;Arena Condá;Rafael Lacerda;BRA;1A7035;FFFFFF;22500
Anderson;G;BRA;N;28;E;S;Ref;Imp;0
Rafael Santos;G;BRA;N;37;D;N;Sgo;Imp;0
Bruno Pacheco;L;BRA;N;34;E;S;Cru;Res;0
Da Silva;L;BRA;N;26;E;N;Pos;For;0
Everton;L;BRA;N;31;D;S;Pos;Vel;0
Mancha;L;BRA;N;25;E;N;Des;For;0
Doma;Z;BRA;N;27;D;S;Cab;Imp;0
João Paulo;Z;BRA;N;29;E;S;Mar;Res;0
Kauan Faria;Z;BRA;N;23;D;N;Des;Vel;0
Rafael Thyere;Z;BRA;N;33;D;N;Ant;Vel;0
Victor Caetano;Z;BRA;N;28;D;S;Ant;Con;0
Vinicius Eduardo;Z;BRA;N;21;D;N;Pos;Vel;0
Camilo;V;BRA;N;27;D;S;Des;Vis;0
Carvalheira;V;BRA;N;27;E;S;Pas;Vis;0
Vinicius Balieiro;V;BRA;N;27;D;N;Mar;Res;0
Bruno Matias;M;BRA;N;27;D;N;Pas;Agi;0
David Antunes;M;BRA;N;21;D;N;Pas;Res;0
Giovanni Augusto;M;BRA;N;36;D;S;Arm;Vis;0
Max;M;BRA;N;25;E;N;Dri;Cri;0
Robert Santos;M;BRA;N;23;E;N;Pas;Vis;0
Yago Felipe;M;BRA;N;31;D;N;Arm;Res;0
Bruno Tubarão;P;BRA;N;31;D;N;Cru;Res;0
Dylan Borrero;P;COL;N;24;D;N;Dri;Vel;0
Kevin Ramírez;P;URY;N;32;E;N;Dri;Agi;0
Marcinho;P;BRA;N;31;D;S;Dri;Vel;0
Maurício Garcez;P;BRA;N;29;D;N;Fin;Cri;0
Rubens;P;BRA;N;23;E;N;Dri;Ace;0
Ênio;P;BRA;N;25;D;N;Pas;Cri;0
Neto Pessoa;A;BRA;N;32;E;N;Fin;For;0
Yannick Bolasie;A;COD;N;37;D;S;Cab;Imp;0
