Cianorte;BRA;48;Albino Turbay;Rafael Ferro;BRA;1D2254;FFFFFF;4000
Felipe Garcia;G;BRA;N;38;D;N;Col;Imp;0
Luiz Fabiano;G;BRA;N;20;D;S;Ref;Con;0
Cristovam;L;BRA;N;36;D;S;Pas;For;0
David Cabeça;L;BRA;N;20;E;S;Mar;Ace;0
Nicolas Rizzardi;L;BRA;N;20;D;N;Des;Agi;0
Paulo Roberto;L;BRA;N;20;D;N;Cru;Ace;0
Sony;L;BRA;N;22;E;N;Pos;Agi;0
Allan Passos;Z;BRA;N;22;D;N;Mar;Con;0
Diogo Marezi;Z;BRA;N;21;D;N;Cab;For;0
Evilazaro;Z;BRA;N;19;E;N;Pos;Vel;0
Iago;Z;BRA;N;23;E;S;Pos;For;0
Jackson;Z;BRA;N;25;D;S;Des;Imp;0
Ramom Soares;Z;BRA;N;23;D;S;Ant;Vel;0
Caíke;V;BRA;N;21;D;N;Des;Agi;0
Dener;V;BRA;N;31;D;N;Ant;Con;0
Ibson;V;BRA;N;22;E;S;Pas;Vis;0
Luciano;V;BRA;N;23;A;S;Mar;For;0
David Kauã;M;BRA;N;21;E;N;Dri;Agi;0
Hiago Monteiro;M;BRA;N;23;D;S;Pas;Vis;0
Netto;M;BRA;N;19;D;N;Pas;Agi;0
Ygor Ortega;M;BRA;N;20;D;N;Chu;Vis;0
Bruno Dentinho;P;BRA;N;25;D;N;Cru;Vel;0
Felipe Laurindo;P;BRA;N;21;D;N;Pas;Agi;0
Lucas Aruba;P;BRA;N;22;D;N;Dri;Vel;0
Reifit;P;BRA;N;24;E;S;Dri;Ace;0
Carlito Thiago;A;BRA;N;21;D;N;Pas;For;0
Crysthyan Lucas;A;BRA;N;21;E;N;Cab;Imp;0
Daniel Adisa;A;NGA;N;21;D;N;Dri;For;0
Pedoca;A;BRA;N;23;E;N;Chu;Vel;0
Robinho;A;BRA;N;22;A;S;Fin;Vel;0
