Confiança;BRA;56;Batistão;Xandi;BRA;0059A8;FFFFFF;15000
Matheus Emiliano;G;BRA;N;25;D;N;Ref;Fle;0
Rafael Pascoal;G;BRA;N;35;D;S;Ref;Fri;0
Kelvyn;L;BRA;N;27;E;S;Pas;Agi;0
Marcelo;L;BRA;N;27;E;S;Cru;Res;0
Mateus Ludke;L;BRA;N;25;D;N;Cru;Ace;0
Matheus Julião;L;BRA;N;23;E;N;Cru;Ace;0
Valdir;L;BRA;N;26;D;S;Cru;Vel;0
Weriton;L;BRA;N;34;D;N;Mar;Agi;0
Alisson;Z;BRA;N;31;D;N;Des;For;0
Eduardo Moura;Z;BRA;N;33;E;S;Pos;Con;0
João Mandovani;Z;BRA;N;21;D;N;Ant;Con;0
Lucas Cunha;Z;BRA;N;32;D;N;Des;For;0
Renilson;Z;BRA;N;27;D;S;Mar;For;0
Ícaro;Z;BRA;N;32;D;S;Cab;Imp;0
Gabriel Zeca;V;BRA;N;24;A;N;Chu;Res;0
Guilherme Nunes;V;BRA;N;28;E;S;Ant;Con;0
Lorran;V;BRA;N;30;D;S;Chu;Res;0
Madison;V;BRA;N;28;D;N;Mar;Con;0
Moisés;V;BRA;N;21;D;N;Ant;For;0
Paulo Henrique;V;BRA;N;21;D;N;Mar;For;0
Fabrício Oya;M;BRA;N;27;D;S;Chu;Cri;0
PK;M;BRA;N;27;E;N;Arm;Vis;0
Andrey Quintino;P;BRA;N;23;D;N;Dri;Ace;0
Breiner Camilo;P;COL;N;25;D;N;Fin;Vel;0
Danielzinho;P;BRA;N;26;D;N;Dri;Agi;0
Iago;P;BRA;N;30;D;N;Cru;Cri;0
João Pedro;P;BRA;N;23;D;N;Dri;Vel;0
Maikon Aquino;P;BRA;N;33;D;S;Fin;Res;0
Welder;P;BRA;N;31;D;N;Dri;Vel;0
Pedro Felipe;A;BRA;N;29;D;N;Fin;Vel;0
