Corinthians;BRA;85;Neo Química Arena;Fernando Diniz;BRA;050405;FFFFFF;48500
Felipe Longo;G;BRA;N;21;D;N;Ref;Fle;0
Hugo Souza;G;BRA;N;27;D;S;Ref;Imp;1
Fabrizio Angileri;L;ARG;N;32;E;N;Des;Res;0
Hugo;L;BRA;N;28;E;N;Pos;For;0
Matheus Bidu;L;BRA;N;27;E;S;Pas;Agi;0
Matheuzinho;L;BRA;N;25;D;S;Pas;Vel;0
Pedro Milans;L;URY;N;24;D;N;Mar;Vel;0
André Ramalho;Z;BRA;N;34;A;N;Pos;For;0
Gabriel Paulista;Z;BRA;N;35;D;S;Cab;Imp;0
Gustavo Henrique;Z;BRA;N;33;D;S;Des;Imp;0
Tchoca;Z;BRA;N;22;D;N;Mar;Vel;0
Allan;V;BRA;N;29;E;S;Pas;For;0
Charles;V;BRA;N;30;D;N;Des;For;0
Matheus Pereira;V;BRA;N;28;E;N;Pas;Vis;0
Raniele;V;BRA;N;29;D;S;Ant;Vis;0
Alex Santana;M;BRA;N;31;D;N;Chu;Res;0
André;M;BRA;N;20;D;S;Pas;Agi;0
André Carrillo;M;PER;N;35;D;N;Pas;Res;0
Bahia;M;BRA;N;20;D;N;Pas;Agi;0
Breno Bidon;M;BRA;N;21;E;S;Dri;Cri;5
Jesse Lingard;M;ENG;N;33;D;N;Pas;Vis;0
Rodrigo Garro;M;ARG;N;28;E;S;Pas;Vis;5
Zakaria Labyad;M;MAR;N;33;A;N;Chu;Vis;0
Kaio César;P;BRA;N;22;E;N;Dri;Vel;0
Kayke;P;BRA;N;22;D;N;Dri;Vel;0
Vitinho;P;BRA;N;32;D;N;Pas;Agi;0
Gui Negão;A;BRA;N;19;D;N;Pas;Imp;0
Memphis Depay;A;NLD;S;32;D;N;Fin;Fri;0
Pedro Raul;A;BRA;N;29;D;N;Cab;Imp;0
Yuri Alberto;A;BRA;N;25;D;S;Fin;Res;6
