Coritiba;BRA;82;Couto Pereira;Fernando Seabra;BRA;00534C;FFFFFF;40500
Benassi;G;BRA;N;22;D;N;Col;Imp;0
Keiller;G;BRA;N;29;D;N;Sgo;Fri;0
Pedro Morisco;G;BRA;S;22;D;N;Col;Fle;0
Pedro Rangel;G;BRA;N;26;D;S;Sgo;Con;0
Bruno Melo;L;BRA;N;33;E;S;Des;Res;0
Felipe Jonatan;L;BRA;N;28;E;N;Cru;For;0
João Almeida;L;BRA;N;20;E;N;Cru;Agi;0
JP Chermont;L;BRA;N;20;D;N;Cru;Vel;0
Tinga;L;BRA;N;32;D;S;Mar;For;0
Jacy;Z;BRA;N;29;D;S;Des;Imp;3
Maicon;Z;BRA;N;37;D;N;Mar;Res;0
Rodrigo Moledo;Z;BRA;N;38;D;N;Ant;For;0
Thiago Santos;Z;BRA;N;36;D;N;Des;Con;0
Tiago Cóser;Z;BRA;N;22;D;S;Ant;Vel;0
Vini Paulista;V;BRA;N;25;D;N;Pas;Con;0
Fernando Sobral;M;BRA;N;31;D;N;Chu;Fri;0
Gustavo;M;BRA;N;23;D;N;Pas;Cri;0
Josué;M;PRT;N;35;E;S;Arm;Cri;5
Sebastián Gómez;M;COL;N;30;E;S;Pas;Res;0
Breno Lopes;P;BRA;N;30;D;S;Fin;Res;0
Brian Ocampo;P;URY;N;27;D;N;Dri;Cri;0
Fabinho;P;BRA;N;26;E;N;Pas;Vel;0
Joaquín Lavega;P;URY;N;21;E;S;Cru;Agi;0
Keno;P;BRA;N;36;D;N;Cru;Cri;0
Lucas Ronier;P;BRA;N;21;E;S;Dri;Vel;0
Pedro Rocha;A;BRA;N;31;D;S;Fin;Fri;0
Renato Marques;A;BRA;N;22;D;N;Fin;Res;0
Rodrigo Rodrigues;A;BRA;N;30;D;N;Fin;Fri;0
Éberth;A;BRA;N;23;E;N;Fin;Imp;0
