CRAC;BRA;46;Genervino da Fonseca;Ângelo Luiz;BRA;FFFFFF;1DA4D9;8500
Hudson Gabriel;G;BRA;N;21;D;N;Ref;Fle;0
Vinícius Almeida;G;BRA;N;26;D;S;Ref;Imp;0
Luan Sales;L;BRA;N;25;D;S;Cru;Res;0
Lucas Lima;L;BRA;N;25;D;S;Pos;Agi;0
Raphinha;L;BRA;N;32;D;N;Des;For;0
Raí;L;BRA;N;18;E;N;Cru;Ace;0
Romário;L;BRA;N;32;E;S;Cru;For;0
Arthur;Z;BRA;N;17;D;N;Des;For;0
Da Silva;Z;BRA;N;25;D;N;Mar;For;0
Gustavo Henrique;Z;BRA;N;35;D;N;Pos;Con;0
Eduardo Menezes;V;BRA;N;28;D;S;Pas;Res;0
Jair;V;BRA;N;25;D;N;Des;Agi;0
Jefferson;V;BRA;N;33;D;S;Mar;Con;0
Robson Alemão;V;BRA;N;31;D;S;Ant;For;0
Caio Cunha;M;BRA;N;24;D;S;Pas;Vis;0
Luiz Fernando;P;BRA;N;28;D;N;Cru;Vel;0
Robinho;P;BRA;N;22;D;S;Dri;Ace;0
Vitor Hugo;P;BRA;N;22;E;N;Dri;Agi;0
Alex Choco;A;BRA;N;25;D;N;Pas;Vel;0
Lorran;A;BRA;N;31;E;S;Fin;For;0
Rafhael Lucas;A;BRA;N;33;D;S;Fin;Fri;0
