Cruzeiro;BRA;87;Mineirão;Artur Jorge;PRT;084090;FFFFFF;62000
Cássio;G;BRA;S;39;E;N;Ref;Fle;1
Léo Aragão;G;BRA;N;24;D;N;Ref;Imp;0
Otávio Costa;G;BRA;N;20;D;S;Ref;Fle;0
Fagner;L;BRA;N;37;D;S;Cru;Ace;0
Gabriel Rojas;L;ARG;N;29;E;N;Cru;Agi;0
Kauã Moraes;L;BRA;N;19;D;N;Cru;Vel;0
William;L;BRA;N;31;D;S;Cru;Vel;0
Fabrício Bruno;Z;BRA;N;30;D;S;Cab;Vel;3
Jonathan Jesus;Z;BRA;N;22;D;S;Ant;Res;0
João Marcelo;Z;BRA;N;26;D;N;Cab;Con;0
Lucas Villalba;Z;ARG;N;31;E;N;Ant;Con;0
Lucas Romero;V;ARG;N;32;D;S;Chu;Con;4
Lucas Silva;V;BRA;N;33;D;N;Chu;Res;0
Zé Lucas;V;BRA;N;18;D;N;Pas;Vis;0
Gerson;M;BRA;S;29;E;S;Arm;Vis;0
Matheus Henrique;M;BRA;N;28;D;S;Pas;Agi;0
Matheus Pereira;M;BRA;S;30;E;S;Arm;Cri;5
Bruno Rodrigues;P;BRA;N;29;D;N;Dri;Vel;0
Gabriel Pec;P;BRA;N;25;E;N;Dri;Ace;0
João Costa;P;PRT;N;21;E;N;Cru;Agi;0
Kaique Kenji;P;BRA;N;20;D;N;Fin;Agi;0
Keny Arroyo;P;ECU;N;20;E;S;Fin;Ace;0
Luis Sinisterra;P;COL;N;27;D;N;Fin;Agi;0
Marquinhos;P;BRA;N;23;E;N;Cru;Cri;0
Wanderson;P;BRA;N;31;D;N;Dri;Res;0
Wesley;P;BRA;N;21;D;N;Pas;Vel;0
Chico da Costa;A;BRA;N;31;D;N;Chu;Res;0
Kaio Jorge;A;BRA;S;24;D;S;Fin;Vel;6
Luciano Rodríguez;A;URY;N;23;D;N;Fin;Vel;0
Néiser Villarreal;A;COL;N;21;D;N;Fin;Res;0
