CSA;BRA;50;Rei Pelé;Moacir Júnior;BRA;011856;FFFFFF;20000
Arthur Silveira;G;BRA;N;24;D;N;Col;For;0
Wellerson;G;BRA;N;28;D;S;Ref;Con;0
Yago Oliveira;G;BRA;N;26;D;N;Ref;Fle;0
Ailton Santos;L;BRA;N;29;E;S;Pas;Vel;0
Caio Hila;L;BRA;N;26;D;S;Des;Vel;0
Félix Jorge;L;BRA;N;28;E;N;Mar;Agi;0
Kaike;L;BRA;N;31;E;S;Pos;For;0
Marcos Ytalo;L;BRA;N;30;D;N;Cru;For;0
Amorim;Z;BRA;N;24;D;N;Des;Vel;0
Marlon Lopes;Z;BRA;N;29;E;N;Pos;Imp;0
Mikael;Z;BRA;N;24;D;N;Mar;Con;0
Rayan;Z;BRA;N;36;A;S;Ant;For;0
Everton Heleno;V;BRA;N;35;D;N;Chu;For;0
Kayllan;V;BRA;N;25;D;S;Des;Res;0
Ramon Batista;V;BRA;N;26;D;N;Ant;Con;0
Renato Pitbull;V;BRA;N;26;D;N;Des;For;0
Wanderson;V;BRA;N;21;D;N;Pas;Agi;0
Camacho;M;BRA;N;36;D;S;Pas;Vis;0
Dudu Figueiredo;M;BRA;N;35;D;S;Arm;Vis;0
Fabrício Bigode;M;BRA;N;28;D;S;Pas;Res;0
Matheus Melo;M;BRA;N;27;E;S;Dri;Agi;0
Ronaldo Mendes;M;BRA;N;33;E;N;Chu;Vis;0
Lucas Silva;P;BRA;N;28;D;N;Cru;Vel;0
Rian Santana;P;BRA;N;25;D;S;Dri;Ace;0
Lucas Lima;A;BRA;N;29;D;N;Fin;For;0
Matheus Souza;A;BRA;N;25;D;N;Dri;Vel;0
