Cuiabá;BRA;71;Arena Pantanal;Eduardo Barros;BRA;FFDE00;006830;44000
João Carlos;G;BRA;N;38;D;N;Col;Con;0
Marcelo Carné;G;BRA;N;36;D;S;Ref;Con;0
Eric;L;BRA;N;25;E;N;Mar;For;0
Igor Inocêncio;L;BRA;N;28;D;N;Pas;Vel;0
Lorenzo;L;BRA;N;19;E;N;Pos;Agi;0
Railan;L;BRA;N;26;D;S;Cru;Vel;0
Alan Empereur;Z;BRA;N;32;E;N;Ant;Con;0
João Basso;Z;BRA;N;29;D;S;Pos;Imp;0
Luis Soares;Z;BRA;N;21;D;S;Mar;For;0
Vitor Mendes;Z;BRA;N;27;D;S;Cab;For;0
Vitão;Z;BRA;N;25;D;N;Mar;Con;0
Calebe Costa;V;BRA;N;23;D;S;Pas;Agi;0
João Araújo;V;BRA;N;21;D;N;Des;For;0
Luiz Otávio;V;BRA;N;29;D;N;Ant;Vis;0
Raul;V;BRA;N;30;D;S;Mar;Con;0
Wesley Dias;V;BRA;N;31;D;N;Mar;For;0
Weverson;V;BRA;N;22;E;N;Pas;Agi;0
David Miguel;M;BRA;N;19;A;S;Dri;Agi;0
Marcos Júnior;M;BRA;N;33;D;N;Arm;Vis;0
Pepê;M;BRA;N;28;D;S;Pas;Vis;0
Eliel;P;BRA;N;23;D;N;Fin;Ace;0
Jean Dias;P;BRA;N;35;D;N;Cru;Agi;0
Kauan Cristtyan;P;BRA;N;20;D;S;Dri;Vel;0
Mateus Santos;P;BRA;N;27;E;N;Cru;Vel;0
Victor Barbara;P;BRA;N;22;D;N;Dri;Agi;0
Fábio Gomes;A;BRA;N;29;D;N;Cab;Imp;0
Nathan Cruz;A;BRA;N;19;E;N;Dri;Vel;0
Pedro Henrique;A;BRA;N;29;E;N;Pas;For;0
Rodrigo Rodrigues;A;BRA;N;26;D;S;Fin;For;0
Vinicius Peixoto;A;BRA;N;22;E;N;Fin;Imp;0
